Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Matt LeCroy,24,56,190,167,18,29,10,0,5,17,0,0,17,38,.174,.254,.323,.577,54,6,2,1,3,2,1,2000,MLB,MIN
Ron Coomer,33,140,589,544,64,147,29,1,16,82,2,0,36,50,.270,.317,.415,.733,226,25,4,0,5,2,1,2000,MLB,MIN
Jay Canizaro,26,102,371,346,43,93,21,1,7,40,4,2,24,57,.269,.318,.396,.714,137,8,1,0,0,0,1,2000,MLB,MIN
Cristian Guzman#,22,156,690,631,89,156,25,20,8,54,28,10,46,101,.247,.299,.388,.687,245,5,2,7,4,1,1,2000,MLB,MIN
Corey Koskie*,27,146,559,474,79,142,32,4,9,65,5,4,77,104,.300,.400,.441,.841,209,11,4,1,3,7,1,2000,MLB,MIN
Jacque Jones*,25,154,552,523,66,149,26,5,19,76,7,5,26,111,.285,.319,.463,.781,242,17,0,1,0,4,1,2000,MLB,MIN
Torii Hunter,24,99,358,336,44,94,14,7,5,44,4,3,18,68,.280,.318,.408,.726,137,13,2,0,2,2,1,2000,MLB,MIN
Matt Lawton*,28,156,664,561,84,171,44,2,13,88,23,7,91,63,.305,.405,.460,.865,258,10,7,0,5,8,1,2000,MLB,MIN
David Ortiz*,24,130,478,415,59,117,36,1,10,63,1,0,57,81,.282,.364,.446,.810,185,13,0,0,6,2,1,2000,MLB,MIN
Denny Hocking#,30,134,433,373,52,111,24,4,4,47,7,5,48,77,.298,.373,.416,.789,155,2,0,7,5,1,1,2000,MLB,MIN
Butch Huskey,28,64,245,215,22,48,13,0,5,27,0,2,25,49,.223,.306,.353,.660,76,5,2,0,3,1,1,2000,MLB,MIN
Midre Cummings*,28,77,196,181,28,50,10,0,4,22,0,0,11,25,.276,.328,.398,.726,72,4,3,1,0,1,1,2000,MLB,MIN
Marcus Jensen#,27,52,164,139,16,29,7,1,3,14,0,1,24,36,.209,.325,.338,.663,47,3,0,1,0,0,1,2000,MLB,MIN
Chad Moeller,25,48,139,128,13,27,3,1,1,9,1,0,9,33,.211,.261,.273,.534,35,4,0,1,1,0,1,2000,MLB,MIN
Jason Maxwell,28,64,124,111,14,27,6,0,1,11,2,1,9,32,.243,.298,.324,.623,36,2,1,0,3,0,1,2000,MLB,MIN
A.J. Pierzynski*,23,33,96,88,12,27,5,1,2,11,1,0,5,14,.307,.354,.455,.809,40,1,2,0,1,0,1,2000,MLB,MIN
Brian Buchanan,26,30,93,82,10,19,3,0,1,8,0,2,8,22,.232,.301,.305,.606,25,3,1,0,2,0,1,2000,MLB,MIN
Todd Walker*,27,23,87,77,14,18,1,0,2,8,3,0,7,10,.234,.287,.325,.612,25,3,0,0,3,0,1,2000,MLB,MIN
Luis Rivas,20,16,64,58,8,18,4,1,0,6,2,0,2,4,.310,.323,.414,.736,24,2,0,2,2,0,1,2000,MLB,MIN
Chad Allen,25,15,55,50,2,15,3,0,0,7,0,2,3,14,.300,.345,.360,.705,18,1,1,0,1,0,1,2000,MLB,MIN
John Barnes,24,11,41,37,5,13,4,0,0,2,0,1,2,6,.351,.415,.459,.874,17,3,2,0,0,0,1,2000,MLB,MIN
Danny Ardoin,25,15,40,32,4,4,1,0,1,5,0,0,8,10,.125,.300,.250,.550,8,0,0,0,0,0,1,2000,MLB,MIN
Casey Blake,26,7,21,16,1,3,2,0,0,1,0,0,3,7,.188,.333,.313,.646,5,1,1,0,1,0,1,2000,MLB,MIN
Doug Mientkiewicz*,26,3,15,14,0,6,0,0,0,4,0,0,0,0,.429,.400,.429,.829,6,1,0,0,1,0,1,2000,MLB,MIN
