Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jonathan Lucroy,25,136,468,430,45,114,16,1,12,59,2,1,29,99,.265,.313,.391,.703,168,7,2,4,3,0,1,2011,MLB,MIL
Prince Fielder*,27,162,692,569,95,170,36,1,38,120,1,1,107,106,.299,.415,.566,.981,322,17,10,0,6,32,1,2011,MLB,MIL
Rickie Weeks,28,118,515,453,77,122,26,2,20,49,9,2,50,107,.269,.350,.468,.818,212,6,8,1,3,3,1,2011,MLB,MIL
Yuniesky Betancourt,29,152,584,556,51,140,27,3,13,68,4,4,16,63,.252,.271,.381,.652,212,16,2,0,10,3,1,2011,MLB,MIL
Casey McGehee,28,155,600,546,46,122,24,2,13,67,0,3,45,104,.223,.280,.346,.626,189,19,1,0,8,4,1,2011,MLB,MIL
Ryan Braun,27,150,629,563,109,187,38,6,33,111,33,6,58,93,.332,.397,.597,.994,336,9,5,0,3,2,1,2011,MLB,MIL
Nyjer Morgan*,30,119,429,378,61,115,20,6,4,37,13,4,19,70,.304,.357,.421,.778,159,6,14,15,3,0,1,2011,MLB,MIL
Corey Hart,29,130,551,492,80,140,25,4,26,63,7,6,51,114,.285,.356,.510,.866,251,12,4,3,1,1,1,2011,MLB,MIL
Carlos Gomez,25,94,258,231,37,52,11,3,8,24,16,2,15,64,.225,.276,.403,.679,93,2,2,8,2,0,1,2011,MLB,MIL
Mark Kotsay*,35,104,255,233,18,63,13,1,3,31,3,0,21,27,.270,.329,.373,.703,87,4,0,0,1,3,1,2011,MLB,MIL
Craig Counsell*,40,107,187,157,19,28,2,1,1,9,2,1,20,21,.178,.280,.223,.503,35,1,3,5,2,2,1,2011,MLB,MIL
Jerry Hairston,35,45,138,124,18,34,10,0,1,7,1,0,11,16,.274,.348,.379,.727,47,4,3,0,0,0,1,2011,MLB,MIL
George Kottaras*,28,49,123,111,15,28,6,1,5,17,0,1,10,26,.252,.311,.459,.771,51,2,0,1,1,0,1,2011,MLB,MIL
Josh Wilson,30,54,82,75,10,17,4,0,2,4,1,0,4,21,.227,.266,.360,.626,27,0,0,3,0,0,1,2011,MLB,MIL
Wil Nieves,33,20,54,50,2,7,2,0,0,0,0,0,3,12,.140,.189,.180,.369,9,3,0,1,0,1,1,2011,MLB,MIL
Felipe Lopez#,31,16,51,44,4,8,0,0,0,3,0,0,4,7,.182,.245,.182,.427,8,2,0,2,1,0,1,2011,MLB,MIL
Taylor Green*,24,20,37,37,2,10,3,0,0,1,0,0,0,6,.270,.270,.351,.622,13,1,0,0,0,0,1,2011,MLB,MIL
Erick Almonte,33,16,29,29,1,3,0,0,1,3,0,0,0,4,.103,.103,.207,.310,6,2,0,0,0,0,1,2011,MLB,MIL
Mat Gamel*,25,10,27,26,1,3,1,0,0,2,0,0,1,4,.115,.148,.154,.302,4,1,0,0,0,0,1,2011,MLB,MIL
Brandon Boggs#,28,16,22,19,4,3,0,0,2,2,1,0,3,8,.158,.273,.474,.746,9,0,0,0,0,2,1,2011,MLB,MIL
Jeremy Reed*,30,7,7,7,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,1,2011,MLB,MIL
Mike Rivera,34,1,6,6,0,2,0,0,0,0,0,0,0,1,.333,.333,.333,.667,2,0,0,0,0,0,1,2011,MLB,MIL
Logan Schafer*,24,8,5,3,1,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,1,0,0,1,2011,MLB,MIL
Brett Carroll,28,2,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1,2011,MLB,MIL
Martin Maldonado,24,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1,2011,MLB,MIL
Eric Farris,25,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1,2011,MLB,MIL
