Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Gerald Laird,29,135,477,413,49,93,23,2,4,33,5,0,40,68,.225,.306,.320,.626,132,11,10,10,4,0,1,2009,MLB,DET
Miguel Cabrera,26,160,685,611,96,198,34,0,34,103,6,2,68,107,.324,.396,.547,.942,334,22,5,0,1,14,1,2009,MLB,DET
Placido Polanco,33,153,676,618,82,176,31,4,10,72,7,2,36,46,.285,.331,.396,.727,245,15,9,7,5,2,1,2009,MLB,DET
Adam Everett,32,118,390,345,43,82,21,0,3,44,5,2,22,61,.238,.288,.325,.613,112,9,4,15,4,0,1,2009,MLB,DET
Brandon Inge,32,161,637,562,71,129,16,1,27,84,2,5,54,170,.230,.314,.406,.720,228,12,17,1,3,1,1,2009,MLB,DET
Ryan Raburn,28,113,291,261,44,76,11,2,16,45,5,4,26,60,.291,.359,.533,.891,139,6,2,1,1,2,1,2009,MLB,DET
Curtis Granderson*,28,160,710,631,91,157,23,8,30,71,20,6,72,141,.249,.327,.453,.780,286,1,2,3,2,4,1,2009,MLB,DET
Magglio Ordonez,35,131,518,465,54,144,24,2,9,50,3,1,51,65,.310,.376,.428,.804,199,19,0,0,2,2,1,2009,MLB,DET
Marcus Thames,32,87,294,258,33,65,11,1,13,36,0,2,29,72,.252,.323,.453,.777,117,5,1,0,6,2,1,2009,MLB,DET
Carlos Guillen#,33,81,322,277,36,67,10,3,11,41,1,3,39,56,.242,.339,.419,.757,116,7,3,0,3,2,1,2009,MLB,DET
Clete Thomas*,25,102,310,275,46,66,13,3,7,39,3,0,33,77,.240,.324,.385,.709,106,3,1,1,0,0,1,2009,MLB,DET
Ramon Santiago#,29,93,296,262,29,70,6,2,7,35,1,2,17,57,.267,.318,.385,.704,101,3,4,10,3,1,1,2009,MLB,DET
Josh Anderson*,26,74,175,165,22,40,4,4,0,16,13,2,8,22,.242,.282,.315,.597,52,4,1,1,0,0,1,2009,MLB,DET
Aubrey Huff*,32,40,117,106,8,20,6,0,2,13,0,0,10,13,.189,.265,.302,.567,32,3,1,0,0,0,1,2009,MLB,DET
Jeff Larish*,26,32,90,74,13,16,3,1,4,7,0,1,15,25,.216,.344,.446,.790,33,4,0,0,1,0,1,2009,MLB,DET
Alex Avila*,22,29,72,61,9,17,4,0,5,14,0,0,10,18,.279,.375,.590,.965,36,0,0,0,1,0,1,2009,MLB,DET
Don Kelly*,29,31,62,56,8,14,3,1,0,3,1,0,4,10,.250,.311,.339,.651,19,0,1,1,0,0,1,2009,MLB,DET
Dane Sardinha,30,12,34,31,1,3,1,0,0,3,0,0,0,16,.097,.091,.129,.220,4,1,0,1,2,0,1,2009,MLB,DET
Dusty Ryan,24,12,30,26,1,4,1,0,0,4,0,1,4,12,.154,.267,.192,.459,5,2,0,0,0,0,1,2009,MLB,DET
Matt Treanor,33,4,14,13,0,0,0,0,0,0,0,0,1,4,.000,.071,.000,.071,0,3,0,0,0,0,1,2009,MLB,DET
Wilkin Ramirez,23,15,13,11,6,4,0,1,1,3,0,0,1,3,.364,.385,.818,1.203,9,1,0,0,1,0,1,2009,MLB,DET
Brent Dlugach,26,5,3,3,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,1,2009,MLB,DET
