Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Justin Thompson*,25,11,15,.423,4.05,34,34,0,5,0,0,222.0,227,114,100,20,79,4,149,2,0,4,946,1.378,9.2,0.8,3.2,6.0,1.89,1,1998,MLB,DET
Brian Moehler,26,14,13,.519,3.90,33,33,0,4,3,0,221.1,220,103,96,30,56,1,123,2,0,4,912,1.247,8.9,1.2,2.3,5.0,2.20,1,1998,MLB,DET
Seth Greisinger,22,6,9,.400,5.12,21,21,0,0,0,0,130.0,142,79,74,17,48,2,66,4,0,3,562,1.462,9.8,1.2,3.3,4.6,1.38,1,1998,MLB,DET
Frank Castillo,29,3,9,.250,6.83,27,19,4,0,0,1,116.0,150,91,88,17,44,0,81,5,0,0,531,1.672,11.6,1.3,3.4,6.3,1.84,1,1998,MLB,DET
Brian Powell,24,3,8,.273,6.35,18,16,1,0,0,0,83.2,101,67,59,17,36,2,46,2,0,3,383,1.637,10.9,1.8,3.9,4.9,1.28,1,1998,MLB,DET
Todd Jones,30,1,4,.200,4.97,65,0,53,0,0,28,63.1,58,38,35,7,36,4,57,2,0,5,279,1.484,8.2,1.0,5.1,8.1,1.58,1,1998,MLB,DET
Bryce Florie,28,8,9,.471,4.80,42,16,6,0,0,0,133.0,141,80,71,16,59,6,97,4,0,9,580,1.504,9.5,1.1,4.0,6.6,1.64,1,1998,MLB,DET
Doug Bochtler,27,0,2,.000,6.15,51,0,11,0,0,0,67.1,73,48,46,17,42,6,45,3,0,6,312,1.708,9.8,2.3,5.6,6.0,1.07,1,1998,MLB,DET
Doug Brocail,31,5,2,.714,2.73,60,0,24,0,0,0,62.2,47,23,19,2,18,3,55,1,0,6,247,1.037,6.8,0.3,2.6,7.9,3.06,1,1998,MLB,DET
Sean Runyan*,24,1,4,.200,3.58,88,0,11,0,0,1,50.1,47,23,20,7,28,3,39,2,0,5,223,1.490,8.4,1.3,5.0,7.0,1.39,1,1998,MLB,DET
Tim Worrell,30,2,6,.250,5.98,15,9,0,0,0,0,61.2,66,42,41,11,19,2,47,1,0,0,265,1.378,9.6,1.6,2.8,6.9,2.47,1,1998,MLB,DET
A.J. Sager,33,4,2,.667,6.52,31,3,7,0,0,2,59.1,79,47,43,7,23,4,23,1,0,4,274,1.719,12.0,1.1,3.5,3.5,1.00,1,1998,MLB,DET
Dean Crow,25,2,2,.500,3.94,32,0,15,0,0,0,45.2,55,22,20,6,16,6,18,2,0,0,197,1.555,10.8,1.2,3.2,3.5,1.13,1,1998,MLB,DET
Matt Anderson,21,5,1,.833,3.27,42,0,10,0,0,0,44.0,38,16,16,3,31,4,44,2,0,2,194,1.568,7.8,0.6,6.3,9.0,1.42,1,1998,MLB,DET
Greg Keagle,27,0,5,.000,5.59,9,7,0,0,0,0,38.2,46,26,24,5,20,0,25,4,0,2,180,1.707,10.7,1.2,4.7,5.8,1.25,1,1998,MLB,DET
Roberto Duran*,25,0,1,.000,5.87,18,0,5,0,0,0,15.1,9,10,10,0,17,0,12,2,0,2,74,1.696,5.3,0.0,10.0,7.0,0.71,1,1998,MLB,DET
Denny Harriger,28,0,3,.000,6.75,4,2,2,0,0,0,12.0,17,12,9,1,8,2,3,0,0,0,61,2.083,12.8,0.8,6.0,2.3,0.38,1,1998,MLB,DET
Scott Sanders,29,0,2,.000,17.69,3,2,1,0,0,0,9.2,24,19,19,1,6,2,6,0,0,1,57,3.103,22.3,0.9,5.6,5.6,1.00,1,1998,MLB,DET
Marino Santana,26,0,0,,3.68,7,0,2,0,0,0,7.1,9,3,3,1,8,2,10,1,0,3,39,2.318,11.0,1.2,9.8,12.3,1.25,1,1998,MLB,DET
Will Brunson*,28,0,0,,0.00,8,0,1,0,0,0,3.0,2,0,0,0,1,0,1,0,0,1,11,1.000,6.0,0.0,3.0,3.0,1.00,1,1998,MLB,DET
