Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Wiki Gonzalez,26,95,319,284,25,66,15,1,5,30,1,2,30,31,.232,.311,.345,.656,72,98,5,3,1,1,4,1
1B,Ryan Klesko*,29,145,590,494,88,140,33,2,26,92,23,7,91,81,.283,.393,.516,.909,136,255,10,1,0,4,9,1
2B,Bret Boone,31,127,525,463,61,116,18,2,19,74,8,4,50,97,.251,.326,.421,.747,94,195,11,5,0,7,7,1
SS,Damian Jackson,26,138,541,470,68,120,27,6,6,37,28,6,62,108,.255,.345,.377,.721,89,177,7,3,4,2,2,1
3B,Phil Nevin,29,143,605,538,87,163,34,1,31,107,2,0,59,121,.303,.374,.543,.916,136,292,17,4,0,4,9,1
LF,Al Martin*,32,93,378,346,62,106,13,6,11,27,6,8,28,54,.306,.360,.474,.834,116,164,2,2,0,2,5,1
CF,Ruben Rivera,26,135,479,423,62,88,18,6,17,57,8,4,44,137,.208,.296,.400,.696,80,169,8,10,0,2,1,1
RF,Eric Owens,29,145,636,583,87,171,19,7,6,51,29,14,45,63,.293,.346,.381,.727,90,222,16,4,0,4,4,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,Mike Darr*,24,58,228,205,21,55,14,4,1,30,9,1,23,45,.268,.342,.390,.732,92,80,9,0,0,0,1,1
C,Carlos Hernandez,33,58,212,191,16,48,11,0,2,25,1,3,16,26,.251,.316,.340,.656,72,65,4,3,0,2,1,1
SS,Desi Relaford#,26,45,189,157,26,32,2,0,2,16,8,0,27,26,.204,.330,.255,.585,56,40,3,3,1,1,0,1
1B,Ed Sprague,32,73,175,157,19,41,12,0,10,27,0,0,13,40,.261,.326,.529,.854,119,83,1,3,0,2,2,1
3B,Dave Magadan*,37,95,166,132,13,36,7,0,2,21,0,0,32,23,.273,.410,.371,.781,107,49,4,0,0,2,1,1
C,Ben Davis#,23,43,148,130,12,29,6,0,3,14,1,1,14,35,.223,.297,.338,.635,66,44,2,0,3,1,1,1
RF,Tony Gwynn*,40,36,140,127,17,41,12,0,1,17,0,1,9,4,.323,.364,.441,.805,110,56,4,1,0,3,2,1
RF,John Mabry*,29,48,129,123,17,28,8,0,7,25,0,0,5,38,.228,.256,.463,.719,83,57,3,0,0,1,0,1
RF,Kory DeHaan*,23,90,110,103,19,21,7,0,2,13,4,2,5,39,.204,.239,.330,.569,47,34,2,0,1,1,0,1
SS,Kevin Nicholson#,24,37,105,97,7,21,6,1,1,8,1,0,4,31,.216,.255,.330,.585,52,32,2,1,3,0,0,1
SS,Chris Gomez,29,33,64,54,4,12,0,0,0,3,0,0,7,5,.222,.306,.222,.529,42,12,1,0,1,1,0,1
UT,Joe Vitiello,30,39,63,52,7,13,3,0,2,8,0,0,10,9,.250,.365,.423,.788,106,22,1,0,0,1,0,1
UT,John Roskos,25,14,30,27,0,1,1,0,0,1,0,0,3,7,.037,.133,.074,.207,-43,2,1,0,0,0,0,1
IF,Greg LaRocca,27,13,30,27,1,6,2,0,0,2,0,0,1,4,.222,.250,.296,.546,43,8,1,0,2,0,0,1
UT,David Newhan*,26,14,26,20,5,3,1,0,1,2,0,0,6,7,.150,.346,.350,.696,83,7,0,0,0,0,1,1
C,George Williams#,31,11,17,16,2,3,0,0,1,2,0,0,0,4,.188,.235,.375,.610,56,6,0,1,0,0,0,1
UT,Dusty Allen,27,9,14,12,0,0,0,0,0,0,0,0,2,5,.000,.143,.000,.143,-58,0,1,0,0,0,0,1
UT,Gabe Alvarez,26,11,14,13,1,2,1,0,0,0,0,0,1,1,.154,.214,.231,.445,17,3,0,0,0,0,0,1
 ,Xavier Nady,21,1,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,428,1,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Matt Clement,25,31,69,60,3,4,0,1,0,2,0,0,4,33,.067,.125,.100,.225,-40,6,0,0,5,0,0,1
P,Woody Williams,33,29,66,58,10,15,4,0,1,9,0,0,4,26,.259,.308,.379,.687,79,22,1,1,1,2,0,1
P,Adam Eaton,22,21,45,38,6,11,2,0,0,4,2,0,6,10,.289,.400,.342,.742,97,13,1,1,0,0,0,1
P,Brian Meadows,24,21,44,40,2,6,0,0,0,2,0,0,0,17,.150,.150,.150,.300,-21,6,1,0,4,0,0,1
P,Brian Tollberg,27,19,38,32,1,3,0,0,0,1,0,0,0,11,.094,.094,.094,.188,-51,3,1,0,6,0,0,1
P,Jay Witasick,27,11,25,22,0,3,0,0,0,3,0,0,1,10,.136,.174,.136,.310,-17,3,1,0,2,0,0,1
P,Sterling Hitchcock*,29,11,23,22,0,0,0,0,0,1,0,0,0,12,.000,.000,.000,.000,-100,0,1,0,1,0,0,1
P,Stan Spencer,30,8,14,12,0,4,1,0,0,1,0,0,0,6,.333,.333,.417,.750,95,5,0,0,2,0,0,1
P,Rodrigo Lopez,24,5,9,9,1,1,0,0,0,0,0,0,0,4,.111,.111,.111,.222,-41,1,0,0,0,0,0,1
P,Will Cunnane,26,27,7,7,0,1,1,0,0,0,0,0,0,3,.143,.143,.286,.429,9,2,0,0,0,0,0,1
P,Brian Boehringer#,31,6,5,4,0,1,1,0,0,2,0,0,0,0,.250,.250,.500,.750,90,2,1,0,1,0,0,1
P,Kevin Walker*,23,67,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,32,1,0,0,0,0,0,1
P,Carlos Almanzar,26,59,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
P,Donne Wall,32,43,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Todd Erdos,26,22,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Carlos Reyes,31,11,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Brandon Kolb,26,9,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Buddy Carlyle*,22,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Trevor Hoffman,32,67,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Domingo Guzman,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Steve Montgomery,29,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Heathcliff Slocumb,34,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Matt Whiteside,32,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Matt Whisenant,29,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Vicente Palacios,36,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Tom Davey,26,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Rodney Myers,31,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Dave Maurer,25,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Dan Serafini#,26,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,28.7,162,6291,5560,752,1413,279,37,157,714,131,53,602,1177,.254,.330,.402,.732,91,2237,123,46,39,43,50,1
,Rank in 16 NL teams,,,,7,12,13,11,5,15,,3,13,9,13,14,13,15,14,,15,,12,,13,,1
,Non-Pitcher Totals,28.8,162,5934,5245,728,1363,270,36,156,689,129,53,587,1041,.260,.337,.414,.751,96,2173,115,44,16,41,50,1
,Pitcher Totals,26.8,162,357,315,24,50,9,1,1,25,2,0,15,136,.159,.201,.203,.404,6,64,8,2,23,2,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
