Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Justin Verlander,28,24,5,.828,2.40,34,34,0,4,2,0,251.0,174,73,67,24,57,0,250,3,2,7,969,0.920,6.2,0.9,2.0,9.0,4.39,1,2011,MLB,DET
Max Scherzer,26,15,9,.625,4.43,33,33,0,0,0,0,195.0,207,101,96,29,56,1,174,7,0,12,833,1.349,9.6,1.3,2.6,8.0,3.11,1,2011,MLB,DET
Rick Porcello,22,14,9,.609,4.75,31,31,0,0,0,0,182.0,210,103,96,18,46,1,104,8,0,12,784,1.407,10.4,0.9,2.3,5.1,2.26,1,2011,MLB,DET
Brad Penny,33,11,11,.500,5.30,31,31,0,0,0,0,181.2,222,117,107,24,62,1,74,4,0,9,803,1.563,11.0,1.2,3.1,3.7,1.19,1,2011,MLB,DET
Jose Valverde,33,2,4,.333,2.24,75,0,70,0,0,49,72.1,52,21,18,5,34,4,69,3,1,3,301,1.189,6.5,0.6,4.2,8.6,2.03,1,2011,MLB,DET
Phil Coke*,28,3,9,.250,4.47,48,14,6,0,0,1,108.2,118,64,54,5,40,5,69,4,0,4,474,1.454,9.8,0.4,3.3,5.7,1.73,1,2011,MLB,DET
Joaquin Benoit,33,4,3,.571,2.95,66,0,13,0,0,2,61.0,47,22,20,5,17,1,63,2,0,3,241,1.049,6.9,0.7,2.5,9.3,3.71,1,2011,MLB,DET
Daniel Schlereth*,25,2,2,.500,3.49,49,0,16,0,0,0,49.0,36,20,19,6,31,3,44,5,0,6,212,1.367,6.6,1.1,5.7,8.1,1.42,1,2011,MLB,DET
Al Alburquerque,25,6,1,.857,1.87,41,0,11,0,0,0,43.1,21,9,9,0,29,4,67,2,0,4,182,1.154,4.4,0.0,6.0,13.9,2.31,1,2011,MLB,DET
Doug Fister,27,8,1,.889,1.79,11,10,0,0,0,0,70.1,54,19,14,4,5,0,57,3,0,0,273,0.839,6.9,0.5,0.6,7.3,11.40,1,2011,MLB,DET
Ryan Perry,24,2,0,1.000,5.35,36,0,6,0,0,0,37.0,39,25,22,1,21,3,24,2,1,3,168,1.622,9.5,0.2,5.1,5.8,1.14,1,2011,MLB,DET
Charlie Furbush*,25,1,3,.250,3.62,17,2,1,0,0,0,32.1,36,18,13,5,14,1,26,3,1,0,139,1.546,10.0,1.4,3.9,7.2,1.86,1,2011,MLB,DET
Duane Below*,25,0,2,.000,4.34,14,2,4,0,0,0,29.0,28,16,14,2,11,2,14,1,0,2,127,1.345,8.7,0.6,3.4,4.3,1.27,1,2011,MLB,DET
David Pauley,28,0,2,.000,5.95,14,0,4,0,0,0,19.2,26,14,13,4,6,1,10,1,0,0,89,1.627,11.9,1.8,2.7,4.6,1.67,1,2011,MLB,DET
David Purcey*,29,1,2,.333,7.23,19,0,6,0,0,0,18.2,21,15,15,1,20,2,12,0,0,0,93,2.196,10.1,0.5,9.6,5.8,0.60,1,2011,MLB,DET
Brayan Villarreal,24,1,1,.500,6.75,16,0,4,0,0,0,16.0,21,12,12,3,10,2,14,0,0,1,76,1.938,11.8,1.7,5.6,7.9,1.40,1,2011,MLB,DET
Adam Wilk*,23,0,0,,5.40,5,0,1,0,0,0,13.1,14,10,8,3,3,0,10,0,0,0,57,1.275,9.5,2.0,2.0,6.8,3.33,1,2011,MLB,DET
Jacob Turner,20,0,1,.000,8.53,3,3,0,0,0,0,12.2,17,13,12,3,4,0,8,1,0,0,60,1.658,12.1,2.1,2.8,5.7,2.00,1,2011,MLB,DET
Brad Thomas*,33,0,1,.000,9.00,12,0,5,0,0,0,11.0,17,12,11,1,6,0,7,1,0,0,56,2.091,13.9,0.8,4.9,5.7,1.17,1,2011,MLB,DET
Andy Oliver*,23,0,1,.000,6.52,2,2,0,0,0,0,9.2,11,7,7,3,8,0,5,2,0,1,49,1.966,10.2,2.8,7.4,4.7,0.63,1,2011,MLB,DET
Enrique Gonzalez,28,0,0,,10.00,8,0,5,0,0,0,9.0,12,10,10,1,7,2,3,0,0,0,44,2.111,12.0,1.0,7.0,3.0,0.43,1,2011,MLB,DET
Lester Oliveros,23,0,0,,5.63,9,0,3,0,0,0,8.0,8,5,5,0,4,1,4,0,0,1,35,1.500,9.0,0.0,4.5,4.5,1.00,1,2011,MLB,DET
Chance Ruffin,22,0,0,,4.91,2,0,0,0,0,0,3.2,5,2,2,2,0,0,3,0,0,0,16,1.364,12.3,4.9,0.0,7.4,,1,2011,MLB,DET
Luis Marte,24,1,0,1.000,2.45,4,0,2,0,0,0,3.2,6,1,1,0,1,0,3,0,0,1,17,1.909,14.7,0.0,2.5,7.4,3.00,1,2011,MLB,DET
Robbie Weinhardt,25,0,0,,10.80,2,0,0,0,0,0,1.2,4,2,2,0,0,0,1,0,0,0,9,2.400,21.6,0.0,0.0,5.4,,1,2011,MLB,DET
Don Kelly,31,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.0,0.0,0.0,0.0,,1,2011,MLB,DET
