Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Jason Varitek#,32,137,536,463,67,137,30,1,18,73,10,3,62,126,.296,.390,.482,.872,121,223,11,10,0,1,9,1
1B,Kevin Millar,32,150,588,508,74,151,36,0,18,74,1,1,57,91,.297,.383,.474,.857,117,241,16,17,0,6,0,1
2B,Mark Bellhorn#,29,138,620,523,93,138,37,3,17,82,6,1,88,177,.264,.373,.444,.817,107,232,8,5,1,3,1,1
SS,Pokey Reese,31,96,268,244,32,54,7,2,3,29,6,2,17,60,.221,.271,.303,.574,46,74,5,0,6,1,1,1
3B,Bill Mueller#,33,110,460,399,75,113,27,1,12,57,2,2,51,56,.283,.365,.446,.811,106,178,8,4,0,6,1,1
LF,Manny Ramirez,32,152,663,568,108,175,44,0,43,130,2,4,82,124,.308,.397,.613,1.009,152,348,17,6,0,7,15,1
CF,Johnny Damon*,30,150,702,621,123,189,35,6,20,94,19,8,76,71,.304,.380,.477,.857,117,296,8,2,0,3,1,1
RF,Gabe Kapler,28,136,310,290,51,79,14,1,6,33,5,4,15,49,.272,.311,.390,.700,77,113,5,2,1,2,0,1
DH,David Ortiz*,28,150,669,582,94,175,47,3,41,139,0,0,75,133,.301,.380,.603,.983,145,351,12,4,0,8,8,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3B,Kevin Youkilis,25,72,248,208,38,54,11,0,7,35,0,1,33,45,.260,.367,.413,.780,99,86,1,4,0,3,0,1
SS,Orlando Cabrera,29,58,248,228,33,67,19,1,6,31,4,1,11,23,.294,.320,.465,.785,97,106,4,1,1,7,0,1
C,Doug Mirabelli,33,59,182,160,27,45,12,0,9,32,0,0,19,46,.281,.368,.525,.893,124,84,5,3,0,0,0,1
SS,Nomar Garciaparra,30,38,169,156,24,50,7,3,5,21,2,0,8,16,.321,.367,.500,.867,118,78,4,4,0,1,2,1
1B,Dave McCarty,34,89,168,151,24,39,8,1,4,17,1,0,14,40,.258,.327,.404,.731,85,61,5,2,0,1,0,1
RF,Trot Nixon*,30,48,167,149,24,47,9,1,6,23,0,0,15,24,.315,.377,.510,.887,123,76,3,1,0,2,1,1
1B,Doug Mientkiewicz*,30,49,119,107,13,23,6,1,1,10,0,1,10,18,.215,.286,.318,.603,54,34,3,1,0,1,0,1
OF,Dave Roberts*,32,45,101,86,19,22,10,0,2,14,5,2,10,17,.256,.330,.442,.772,94,38,2,1,1,3,0,1
UT,Brian Daubach*,32,30,86,75,9,17,8,0,2,8,0,0,10,21,.227,.326,.413,.739,87,31,1,1,0,0,0,1
UT,Cesar Crespo#,25,52,79,79,6,13,2,1,0,2,2,0,0,20,.165,.165,.215,.380,-4,17,1,0,0,0,0,1
MI,Ricky Gutierrez,34,21,42,40,6,11,1,0,0,3,1,0,2,6,.275,.310,.300,.610,57,12,2,0,0,0,0,1
DH,Ellis Burks,39,11,37,33,6,6,0,0,1,1,2,0,3,8,.182,.270,.273,.543,39,9,1,1,0,0,0,1
UT,Andy Dominique,28,7,11,11,0,2,0,0,0,1,0,0,0,3,.182,.182,.182,.364,-7,2,0,0,0,0,0,1
OF,Adam Hyzdu,32,17,11,10,3,3,2,0,1,2,0,0,1,2,.300,.364,.800,1.164,185,8,0,0,0,0,0,1
