Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Wilson Ramos,26,88,361,341,32,91,12,0,11,47,0,0,17,57,.267,.299,.399,.698,91,136,17,0,0,3,2,1
1B,Adam LaRoche*,34,140,586,494,73,128,19,0,26,92,3,0,82,108,.259,.362,.455,.817,124,225,13,2,0,8,9,1
2B,Danny Espinosa#,27,114,364,333,31,73,14,3,8,27,8,1,18,122,.219,.283,.351,.634,74,117,5,12,0,1,5,1
SS,Ian Desmond,28,154,648,593,73,151,26,3,24,91,24,5,46,183,.255,.313,.430,.743,103,255,17,6,0,3,0,1
3B,Anthony Rendon,24,153,683,613,111,176,39,6,21,83,17,3,58,104,.287,.351,.473,.824,126,290,11,5,2,5,2,1
LF,Bryce Harper*,21,100,395,352,41,96,10,2,13,32,2,2,38,104,.273,.344,.423,.768,111,149,6,1,3,1,4,1
CF,Denard Span*,30,147,668,610,94,184,39,8,5,37,31,7,50,65,.302,.355,.416,.771,113,254,6,2,3,3,1,1
RF,Jayson Werth,35,147,629,534,85,156,37,1,16,82,9,1,83,113,.292,.394,.455,.849,134,243,9,9,0,3,3,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,Ryan Zimmerman,29,61,240,214,26,60,19,1,5,38,0,0,22,37,.280,.342,.449,.790,117,96,6,0,0,4,0,1
UT,Kevin Frandsen,32,105,236,220,17,57,8,0,1,17,0,0,6,26,.259,.299,.309,.608,69,68,7,7,2,1,0,1
C,Jose Lobaton#,29,66,230,214,18,50,9,0,2,12,0,0,15,61,.234,.287,.304,.591,64,65,5,1,0,0,1,1
2B,Asdrubal Cabrera#,28,49,200,175,20,40,9,2,5,21,3,0,22,29,.229,.312,.389,.700,92,68,4,0,1,2,1,1
LF,Nate McLouth*,32,79,162,139,10,24,6,0,1,7,4,1,16,35,.173,.280,.237,.517,45,33,0,5,1,1,1,1
1B,Tyler Moore,27,42,100,91,8,21,2,0,4,14,0,0,7,29,.231,.300,.385,.685,88,35,2,2,0,0,0,1
LF,Scott Hairston,34,61,87,77,6,16,4,0,1,8,0,0,4,26,.208,.253,.299,.552,52,23,2,2,0,4,0,1
C,Sandy Leon#,25,20,70,64,7,10,1,0,1,3,0,0,6,20,.156,.229,.219,.447,25,14,1,0,0,0,0,1
UT,Zach Walters#,24,32,43,39,7,8,1,0,3,5,0,0,4,16,.205,.279,.462,.741,101,18,0,0,0,0,0,1
OF,Michael A. Taylor,23,17,43,39,5,8,3,0,1,5,0,2,3,17,.205,.279,.359,.638,75,14,1,1,0,0,0,1
OF,Nate Schierholtz*,30,23,42,40,3,9,1,1,1,4,0,1,2,8,.225,.262,.375,.637,74,15,0,0,0,0,0,1
1B,Greg Dobbs*,35,21,30,28,0,6,1,0,0,2,0,0,1,4,.214,.233,.250,.483,34,7,0,0,0,1,0,1
OF,Steven Souza Jr.,25,21,26,23,2,3,0,0,2,2,0,0,3,7,.130,.231,.391,.622,68,9,1,0,0,0,0,1
2B,Jeff Kobernus,26,4,8,6,2,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,-23,0,0,1,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Stephen Strasburg,25,33,76,60,3,6,1,0,0,3,0,0,7,26,.100,.194,.117,.311,-11,7,1,0,9,0,0,1
P,Tanner Roark,27,29,70,58,1,7,0,0,0,0,0,0,1,21,.121,.136,.121,.256,-28,7,1,0,11,0,0,1
P,Jordan Zimmermann,28,30,67,55,3,10,1,0,0,1,0,0,2,21,.182,.207,.200,.407,13,11,0,0,9,1,0,1
P,Doug Fister*,30,24,62,52,3,4,1,0,0,0,0,0,1,21,.077,.094,.096,.190,-47,5,0,0,9,0,0,1
P,Gio Gonzalez,28,24,52,46,3,4,1,0,1,2,0,0,0,26,.087,.087,.174,.261,-30,8,0,0,6,0,0,1
P,Blake Treinen,26,15,15,12,0,1,0,0,0,0,0,0,1,8,.083,.154,.083,.237,-32,1,0,0,2,0,0,1
P,Taylor Jordan,25,5,8,8,1,1,0,0,0,0,0,0,0,4,.125,.125,.125,.250,-30,1,0,0,0,0,0,1
P,Craig Stammen,30,46,8,7,0,2,1,0,0,0,0,0,0,4,.286,.286,.429,.714,94,3,0,0,1,0,0,1
P,Ross Detwiler,28,44,4,2,1,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,3,0,0,0,1,0,0,1
P,Taylor Hill,25,3,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,85,1,0,0,0,0,0,1
P,Tyler Clippard,29,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
