Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Salvador Perez,26,139,546,514,57,127,28,2,22,64,0,0,22,119,.247,.288,.438,.725,225,12,8,0,2,3,1
Eric Hosmer*,26,158,667,605,80,161,24,1,25,104,5,3,57,132,.266,.328,.433,.761,262,18,1,0,4,5,1
Whit Merrifield,27,81,332,311,44,88,22,3,2,29,8,3,19,72,.283,.323,.392,.716,122,1,0,1,1,1,1
Alcides Escobar,29,162,682,637,57,166,24,6,7,55,17,4,27,96,.261,.292,.350,.642,223,16,3,10,5,2,1
Cheslor Cuthbert,23,128,510,475,49,130,28,1,12,46,2,0,32,96,.274,.318,.413,.731,196,14,0,1,2,0,1
Alex Gordon*,32,128,506,445,62,98,16,2,17,40,8,1,52,148,.220,.312,.380,.692,169,9,8,0,1,3,1
Lorenzo Cain,30,103,434,397,56,114,19,1,9,56,14,5,31,84,.287,.339,.408,.747,162,15,2,0,4,3,1
Paulo Orlando,30,128,484,457,52,138,24,4,5,43,14,3,13,105,.302,.329,.405,.734,185,12,7,3,3,1,1
Kendrys Morales#,33,154,618,558,65,147,24,0,30,93,0,0,48,120,.263,.327,.468,.795,261,20,7,0,5,2,1
Jarrod Dyson*,31,107,337,299,46,83,14,8,1,25,30,7,26,39,.278,.340,.388,.728,116,4,3,8,1,2,1
Christian Colon,27,54,161,147,13,34,6,0,1,13,0,1,11,31,.231,.294,.293,.586,43,4,2,1,0,0,1
Omar Infante,34,39,149,134,16,32,9,1,0,11,0,0,9,23,.239,.279,.321,.600,43,0,0,2,4,0,1
Adalberto Mondesi#,20,47,149,135,16,25,1,3,2,13,9,1,6,48,.185,.231,.281,.512,38,1,2,6,0,0,1
Drew Butera,32,55,133,123,18,35,10,1,4,16,0,0,8,36,.285,.328,.480,.808,59,2,0,2,0,0,1
Mike Moustakas*,27,27,113,104,12,25,6,0,7,13,0,1,9,13,.240,.301,.500,.801,52,5,0,0,0,0,1
Brett Eibner,27,26,85,78,11,18,6,0,3,10,0,0,6,23,.231,.286,.423,.709,33,1,0,1,0,1,1
Rey Fuentes*,25,13,44,41,2,13,1,0,0,5,0,2,3,8,.317,.364,.341,.705,14,0,0,0,0,0,1
Billy Burns#,26,24,40,37,7,9,0,0,0,1,3,2,0,7,.243,.275,.243,.518,9,0,2,0,1,0,1
Hunter Dozier,24,8,21,19,4,4,1,0,0,1,0,0,2,8,.211,.286,.263,.549,5,0,0,0,0,0,1
Daniel Nava#,33,9,12,11,1,1,1,0,0,0,0,0,1,4,.091,.167,.182,.348,2,0,0,0,0,0,1
Tony Cruz,29,4,5,4,0,0,0,0,0,1,0,0,0,3,.000,.000,.000,.000,0,0,0,0,1,0,1
Terrance Gore,25,17,3,3,6,0,0,0,0,0,11,2,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1
