Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Bartolo Colon,41,15,13,.536,4.09,31,31,0,0,0,0,202.1,218,97,92,22,30,3,151,5,0,2,846,84,3.57,1.226,9.7,1.0,1.3,6.7,5.03,1
SP,Jon Niese*,27,9,11,.450,3.40,30,30,0,0,0,0,187.2,193,80,71,17,45,0,138,7,0,3,786,101,3.67,1.268,9.3,0.8,2.2,6.6,3.07,1
SP,Zack Wheeler,24,11,11,.500,3.54,32,32,0,1,1,0,185.1,167,84,73,14,79,3,187,11,0,9,794,97,3.55,1.327,8.1,0.7,3.8,9.1,2.37,1
SP,Jacob deGrom,26,9,6,.600,2.69,22,22,0,0,0,0,140.1,117,44,42,7,43,2,144,1,0,1,565,128,2.67,1.140,7.5,0.4,2.8,9.2,3.35,1
SP,Dillon Gee,28,7,8,.467,4.00,22,22,0,0,0,0,137.1,128,61,61,18,43,0,94,5,1,3,570,86,4.52,1.245,8.4,1.2,2.8,6.2,2.19,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Jenrry Mejia,24,6,6,.500,3.65,63,7,49,0,0,28,93.2,98,41,38,9,41,8,98,4,0,5,417,95,3.73,1.484,9.4,0.9,3.9,9.4,2.39,1
RP,Carlos Torres,31,8,6,.571,3.06,73,1,20,0,0,2,97.0,89,35,33,11,38,4,96,2,0,6,405,113,3.86,1.309,8.3,1.0,3.5,8.9,2.53,1
RP,Jeurys Familia,24,2,5,.286,2.21,76,0,16,0,0,5,77.1,59,26,19,3,32,5,73,2,0,9,322,157,3.07,1.177,6.9,0.3,3.7,8.5,2.28,1
RP,Vic Black,26,2,3,.400,2.60,41,0,9,0,0,0,34.2,26,12,10,2,19,0,32,1,0,1,148,134,3.77,1.298,6.8,0.5,4.9,8.3,1.68,1
RP,Josh Edgin*,27,1,0,1.000,1.32,47,0,5,0,0,0,27.1,19,6,4,2,6,0,28,0,0,2,104,266,2.69,0.915,6.3,0.7,2.0,9.2,4.67,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daisuke Matsuzaka,33,3,3,.500,3.89,34,9,5,0,0,1,83.1,62,38,36,6,50,5,78,6,0,6,359,89,4.21,1.344,6.7,0.6,5.4,8.4,1.56,1
,Rafael Montero,23,1,3,.250,4.06,10,8,1,0,0,0,44.1,44,21,20,8,23,0,42,0,0,0,194,86,5.14,1.511,8.9,1.6,4.7,8.5,1.83,1
,Buddy Carlyle,36,1,1,.500,1.45,27,0,4,0,0,0,31.0,23,6,5,2,5,0,28,0,0,0,119,241,2.65,0.903,6.7,0.6,1.5,8.1,5.60,1
,Gonzalez Germen,26,0,0,,4.75,25,0,9,0,0,0,30.1,30,16,16,7,14,1,31,1,0,1,133,74,5.57,1.451,8.9,2.1,4.2,9.2,2.21,1
,Dana Eveland*,30,1,1,.500,2.63,30,0,10,0,0,1,27.1,24,8,8,2,6,1,27,4,0,0,115,133,3.21,1.098,7.9,0.7,2.0,8.9,4.50,1
,Jose Valverde,36,1,1,.500,5.66,21,0,13,0,0,2,20.2,24,16,13,4,10,3,23,0,0,1,95,62,4.87,1.645,10.5,1.7,4.4,10.0,2.30,1
,Kyle Farnsworth,38,0,3,.000,3.18,19,0,10,0,0,3,17.0,18,6,6,2,6,1,10,0,0,0,71,111,4.54,1.412,9.5,1.1,3.2,5.3,1.67,1
,Scott Rice*,32,1,2,.333,5.93,32,0,2,0,0,0,13.2,15,9,9,1,12,1,13,1,0,5,66,60,5.03,1.976,9.9,0.7,7.9,8.6,1.08,1
,Erik Goeddel,25,0,0,,2.70,6,0,5,0,0,0,6.2,3,2,2,0,4,1,6,0,0,1,26,136,3.13,1.050,4.1,0.0,5.4,8.1,1.50,1
,John Lannan*,29,1,0,1.000,15.75,5,0,3,0,0,0,4.0,7,7,7,3,2,0,2,0,0,1,21,24,13.38,2.250,15.8,6.8,4.5,4.5,1.00,1
,Dario Alvarez*,25,0,0,,13.50,4,0,0,0,0,0,1.1,4,2,2,1,0,0,1,0,0,0,8,34,11.38,3.000,27.0,6.8,0.0,6.8,,1
,Bobby Parnell,29,0,0,,9.00,1,0,0,0,0,0,1.0,2,1,1,0,1,0,1,0,0,0,6,55,4.13,3.000,18.0,0.0,9.0,9.0,1.00,1
,Team Totals,29.2,79,83,.488,3.49,162,162,161,1,1,42,1463.2,1370,618,568,141,509,38,1303,50,1,56,6170,99,3.75,1.284,8.4,0.9,3.1,8.0,2.56,1
,Rank in 15 NL teams,,7,8,,6,,,,13,9,9,4 ,9,8,8,10,13,,3,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
