Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Phil Hughes,28,16,10,.615,3.52,32,32,0,1,0,0,209.2,221,88,82,16,16,1,186,5,0,1,855,111,2.65,1.130,9.5,0.7,0.7,8.0,11.63,1
SP,Kyle Gibson,26,13,12,.520,4.47,31,31,0,0,0,0,179.1,178,91,89,12,57,0,107,2,0,11,757,87,3.80,1.310,8.9,0.6,2.9,5.4,1.88,1
SP,Ricky Nolasco,31,6,12,.333,5.38,27,27,0,1,0,0,159.0,203,96,95,22,38,1,115,5,0,5,695,73,4.30,1.516,11.5,1.2,2.2,6.5,3.03,1
SP,Kevin Correia,33,5,13,.278,4.94,23,23,0,0,0,0,129.1,157,76,71,13,32,1,61,5,1,3,572,79,4.35,1.461,10.9,0.9,2.2,4.2,1.91,1
SP,Yohan Pino,30,2,5,.286,5.07,11,11,0,0,0,0,60.1,66,37,34,8,14,0,50,1,0,2,258,77,3.94,1.326,9.8,1.2,2.1,7.5,3.57,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Glen Perkins*,31,4,3,.571,3.65,63,0,56,0,0,34,61.2,62,29,25,7,11,2,66,2,0,3,260,107,3.10,1.184,9.0,1.0,1.6,9.6,6.00,1
RP,Jared Burton,33,3,5,.375,4.36,68,0,21,0,0,3,64.0,58,34,31,6,25,3,46,3,0,1,272,90,4.23,1.297,8.2,0.8,3.5,6.5,1.84,1
RP,Casey Fien,30,5,6,.455,3.98,73,0,15,0,0,1,63.1,64,29,28,7,10,0,51,0,0,2,260,99,3.43,1.168,9.1,1.0,1.4,7.2,5.10,1
RP,Brian Duensing*,31,3,3,.500,3.31,62,0,10,0,0,0,54.1,52,20,20,6,20,2,33,1,0,2,229,118,4.51,1.325,8.6,1.0,3.3,5.5,1.65,1
RP,Caleb Thielbar*,27,2,1,.667,3.40,54,0,7,0,0,0,47.2,51,19,18,3,16,1,35,1,0,0,206,116,3.55,1.406,9.6,0.6,3.0,6.6,2.19,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sam Deduno,30,2,5,.286,4.60,30,8,8,0,0,0,92.0,92,49,47,9,41,1,74,10,3,8,408,85,4.46,1.446,9.0,0.9,4.0,7.2,1.80,1
,Anthony Swarzak,28,3,2,.600,4.60,50,4,11,0,0,0,86.0,100,48,44,5,28,5,47,0,2,0,378,85,3.77,1.488,10.5,0.5,2.9,4.9,1.68,1
,Trevor May,24,3,6,.333,7.88,10,9,0,0,0,0,45.2,59,41,40,7,22,1,44,2,0,3,213,50,4.77,1.774,11.6,1.4,4.3,8.7,2.00,1
,Ryan Pressly,25,2,0,1.000,2.86,25,0,5,0,0,0,28.1,30,10,9,3,8,2,14,1,0,1,122,138,4.47,1.341,9.5,1.0,2.5,4.4,1.75,1
,Matt Guerrier,35,0,1,.000,3.86,27,0,11,0,0,0,28.0,30,12,12,1,10,3,12,1,0,3,124,102,3.92,1.429,9.6,0.3,3.2,3.9,1.20,1
,Logan Darnell*,25,0,2,.000,7.13,7,4,2,0,0,0,24.0,31,20,19,5,8,0,22,1,0,0,112,56,5.13,1.625,11.6,1.9,3.0,8.3,2.75,1
,Mike Pelfrey,30,0,3,.000,7.99,5,5,0,0,0,0,23.2,29,23,21,5,18,0,10,2,0,1,119,50,7.57,1.986,11.0,1.9,6.8,3.8,0.56,1
,Tommy Milone*,27,0,1,.000,7.06,6,5,1,0,0,0,21.2,37,21,17,4,11,0,14,1,0,0,114,56,5.90,2.215,15.4,1.7,4.6,5.8,1.27,1
,Michael Tonkin,24,0,0,,4.74,25,0,8,0,0,0,19.0,23,13,10,2,6,0,16,2,0,1,87,84,4.08,1.526,10.9,0.9,2.8,7.6,2.67,1
,Kris Johnson*,29,0,1,.000,4.73,3,3,0,0,0,0,13.1,17,7,7,2,9,0,12,0,0,1,64,85,5.31,1.950,11.5,1.4,6.1,8.1,1.33,1
,A.J. Achter,25,1,0,1.000,3.27,7,0,1,0,0,0,11.0,14,7,4,2,3,0,5,0,0,0,49,123,5.40,1.545,11.5,1.6,2.5,4.1,1.67,1
,Aaron Thompson*,27,0,0,,2.45,7,0,2,0,0,0,7.1,8,2,2,0,2,1,6,0,0,0,31,167,2.31,1.364,9.8,0.0,2.5,7.4,3.00,1
,Lester Oliveros,26,0,1,.000,7.11,7,0,2,0,0,0,6.1,6,5,5,2,3,0,5,0,0,2,27,58,7.08,1.421,8.5,2.8,4.3,7.1,1.67,1
,Team Totals,29.1,70,92,.432,4.57,162,162,160,2,0,38,1435.0,1588,777,728,147,408,24,1031,45,6,50,6212,86,3.97,1.391,10.0,0.9,2.6,6.5,2.53,1
,Rank in 15 AL teams,,13,2,,15,,,,14,12,9,14 ,15,15,15,9,3,,15,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
