Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Johnny Cueto,28,20,9,.690,2.25,34,34,0,4,2,0,243.2,169,69,61,22,65,2,242,15,1,1,961,0.960,6.2,0.8,2.4,8.9,3.72,1,2014,MLB,CIN
Mike Leake,26,11,13,.458,3.70,33,33,0,0,0,0,214.1,217,93,88,23,50,3,164,13,0,4,902,1.246,9.1,1.0,2.1,6.9,3.28,1,2014,MLB,CIN
Alfredo Simon,33,15,10,.600,3.44,32,32,0,0,0,0,196.1,181,80,75,22,56,7,127,12,0,3,818,1.207,8.3,1.0,2.6,5.8,2.27,1,2014,MLB,CIN
Homer Bailey,28,9,5,.643,3.71,23,23,0,1,1,0,145.2,134,60,60,16,45,1,124,7,1,5,604,1.229,8.3,1.0,2.8,7.7,2.76,1,2014,MLB,CIN
Mat Latos,26,5,5,.500,3.25,16,16,0,0,0,0,102.1,92,42,37,9,26,2,74,2,0,1,420,1.153,8.1,0.8,2.3,6.5,2.85,1,2014,MLB,CIN
Tony Cingrani*,24,2,8,.200,4.55,13,11,2,0,0,0,63.1,62,33,32,12,35,2,61,1,2,1,280,1.532,8.8,1.7,5.0,8.7,1.74,1,2014,MLB,CIN
Aroldis Chapman*,26,0,3,.000,2.00,54,0,44,0,0,36,54.0,21,12,12,1,24,0,106,2,0,4,202,0.833,3.5,0.2,4.0,17.7,4.42,1,2014,MLB,CIN
J.J. Hoover,26,1,10,.091,4.88,54,0,22,0,0,0,62.2,56,36,34,13,31,3,75,1,0,0,275,1.388,8.0,1.9,4.5,10.8,2.42,1,2014,MLB,CIN
Sam LeCure,30,1,4,.200,3.81,62,0,16,0,0,0,56.2,62,27,24,6,24,1,48,3,0,5,251,1.518,9.8,1.0,3.8,7.6,2.00,1,2014,MLB,CIN
Jonathan Broxton,30,4,2,.667,1.86,51,0,16,0,0,7,48.1,32,10,10,3,17,0,37,1,0,0,189,1.014,6.0,0.6,3.2,6.9,2.18,1,2014,MLB,CIN
Manny Parra*,31,0,3,.000,4.66,53,0,8,0,0,1,36.2,39,20,19,4,18,1,34,1,0,2,164,1.555,9.6,1.0,4.4,8.3,1.89,1,2014,MLB,CIN
Logan Ondrusek,29,3,3,.500,5.49,40,0,10,0,0,0,41.0,50,26,25,5,16,1,42,1,0,3,189,1.610,11.0,1.1,3.5,9.2,2.63,1,2014,MLB,CIN
Jumbo Diaz,30,0,1,.000,3.38,36,0,12,0,0,0,34.2,29,13,13,3,14,4,37,0,0,1,142,1.240,7.5,0.8,3.6,9.6,2.64,1,2014,MLB,CIN
David Holmberg*,22,2,2,.500,4.80,7,5,1,0,0,0,30.0,27,16,16,8,16,1,18,6,0,2,137,1.433,8.1,2.4,4.8,5.4,1.13,1,2014,MLB,CIN
Carlos Contreras,23,0,1,.000,6.52,17,0,8,0,0,0,19.1,19,16,14,2,17,0,19,0,1,3,94,1.862,8.8,0.9,7.9,8.8,1.12,1,2014,MLB,CIN
Daniel Corcino,23,0,2,.000,4.34,5,3,1,0,0,0,18.2,13,9,9,2,10,0,15,1,0,6,80,1.232,6.3,1.0,4.8,7.2,1.50,1,2014,MLB,CIN
Dylan Axelrod,28,2,1,.667,2.95,5,4,1,0,0,0,18.1,14,6,6,5,4,1,20,0,0,0,72,0.982,6.9,2.5,2.0,9.8,5.00,1,2014,MLB,CIN
Pedro Villarreal,26,0,2,.000,4.30,12,0,1,0,0,0,14.2,11,7,7,1,7,1,12,1,0,1,62,1.227,6.8,0.6,4.3,7.4,1.71,1,2014,MLB,CIN
Sean Marshall*,31,0,0,,7.71,15,0,4,0,0,0,14.0,23,14,12,1,12,0,14,2,0,1,80,2.500,14.8,0.6,7.7,9.0,1.17,1,2014,MLB,CIN
Nick Christiani,26,0,1,.000,5.54,10,0,4,0,0,0,13.0,12,8,8,2,6,3,8,0,0,0,57,1.385,8.3,1.4,4.2,5.5,1.33,1,2014,MLB,CIN
Curtis Partch,27,1,0,1.000,0.00,6,0,4,0,0,0,7.0,2,0,0,0,7,0,6,0,0,0,30,1.286,2.6,0.0,9.0,7.7,0.86,1,2014,MLB,CIN
Jeff Francis*,33,0,1,.000,5.40,1,1,0,0,0,0,5.0,5,3,3,1,0,0,4,0,0,0,20,1.000,9.0,1.8,0.0,7.2,,1,2014,MLB,CIN
Ryan Dennick*,27,0,0,,11.57,8,0,2,0,0,0,4.2,7,7,6,2,4,0,3,0,0,2,25,2.357,13.5,3.9,7.7,5.8,0.75,1,2014,MLB,CIN
Skip Schumaker,34,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,1.000,0.0,0.0,9.0,0.0,0.00,1,2014,MLB,CIN
Trevor Bell,27,0,0,,67.50,2,0,0,0,0,0,0.2,5,5,5,0,2,0,0,0,0,0,9,10.500,67.5,0.0,27.0,0.0,0.00,1,2014,MLB,CIN
