Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Colby Lewis,34,10,14,.417,5.18,29,29,0,2,1,0,170.1,211,107,98,25,48,5,133,8,1,3,762,1.521,11.1,1.3,2.5,7.0,2.77,1
Yu Darvish,27,10,7,.588,3.06,22,22,0,2,1,0,144.1,133,54,49,13,49,1,182,2,1,14,605,1.261,8.3,0.8,3.1,11.3,3.71,1
Nick Martinez,23,5,12,.294,4.55,29,24,3,0,0,0,140.1,150,79,71,18,55,1,77,3,0,7,610,1.461,9.6,1.2,3.5,4.9,1.40,1
Nick Tepesch,25,5,11,.313,4.36,23,22,1,0,0,0,126.0,128,66,61,15,44,2,56,7,0,1,537,1.365,9.1,1.1,3.1,4.0,1.27,1
Joakim Soria,30,1,3,.250,2.70,35,0,32,0,0,17,33.1,25,12,10,0,4,1,42,1,0,0,133,0.870,6.8,0.0,1.1,11.3,10.50,1
Shawn Tolleson,26,3,1,.750,2.76,64,0,10,0,0,0,71.2,56,23,22,10,28,5,69,1,0,4,296,1.172,7.0,1.3,3.5,8.7,2.46,1
Neal Cotts*,34,2,9,.182,4.32,73,0,18,0,0,2,66.2,66,33,32,6,23,3,63,3,2,4,286,1.335,8.9,0.8,3.1,8.5,2.74,1
Roman Mendez,23,0,1,.000,2.18,30,0,6,0,0,0,33.0,20,8,8,2,17,2,22,2,0,2,136,1.121,5.5,0.5,4.6,6.0,1.29,1
Jason Frasor,36,1,1,.500,3.34,38,0,6,0,0,0,29.2,27,14,11,2,14,1,30,1,0,2,129,1.382,8.2,0.6,4.2,9.1,2.14,1
Scott Baker,32,3,4,.429,5.47,25,8,13,0,0,0,80.2,82,49,49,15,14,3,55,2,0,0,332,1.190,9.1,1.7,1.6,6.1,3.93,1
Robbie Ross*,25,3,6,.333,6.20,27,12,4,0,0,0,78.1,103,65,54,9,30,2,51,7,0,6,365,1.698,11.8,1.0,3.4,5.9,1.70,1
Miles Mikolas,25,2,5,.286,6.44,10,10,0,0,0,0,57.1,64,43,41,8,18,2,38,4,1,0,255,1.430,10.0,1.3,2.8,6.0,2.11,1
Martin Perez*,23,4,3,.571,4.38,8,8,0,2,2,0,51.1,50,25,25,3,19,1,35,1,0,1,207,1.344,8.8,0.5,3.3,6.1,1.84,1
Joe Saunders*,33,0,5,.000,6.13,8,8,0,0,0,0,39.2,62,32,27,8,20,0,22,1,0,0,198,2.067,14.1,1.8,4.5,5.0,1.10,1
Derek Holland*,27,2,0,1.000,1.46,6,5,0,0,0,0,37.0,34,8,6,0,5,1,25,0,0,1,145,1.054,8.3,0.0,1.2,6.1,5.00,1
Neftali Feliz,26,2,1,.667,1.99,30,0,22,0,0,13,31.2,20,7,7,5,11,0,21,0,0,1,122,0.979,5.7,1.4,3.1,6.0,1.91,1
Alexi Ogando,30,2,3,.400,6.84,27,0,10,0,0,1,25.0,33,19,19,1,15,1,22,1,0,4,122,1.920,11.9,0.4,5.4,7.9,1.47,1
Tanner Scheppers,27,0,1,.000,9.00,8,4,0,0,0,0,23.0,31,24,23,6,10,0,17,3,0,2,111,1.783,12.1,2.3,3.9,6.7,1.70,1
Aaron Poreda*,27,2,1,.667,5.91,26,0,2,0,0,0,21.1,30,14,14,2,7,1,21,1,0,1,97,1.734,12.7,0.8,3.0,8.9,3.00,1
Lisalverto Bonilla,24,3,0,1.000,3.05,5,3,0,0,0,0,20.2,13,8,7,2,12,1,17,1,0,1,83,1.210,5.7,0.9,5.2,7.4,1.42,1
Phil Klein,25,1,2,.333,2.84,17,0,3,0,0,0,19.0,11,6,6,3,10,5,23,2,1,1,79,1.105,5.2,1.4,4.7,10.9,2.30,1
Matt Harrison*,28,1,1,.500,4.15,4,4,0,0,0,0,17.1,20,8,8,1,12,0,10,1,0,1,84,1.846,10.4,0.5,6.2,5.2,0.83,1
Alex Claudio*,22,0,0,,2.92,15,0,5,0,0,0,12.1,14,4,4,0,4,0,14,0,1,0,54,1.459,10.2,0.0,2.9,10.2,3.50,1
Nathan Adcock,26,0,0,,4.50,7,0,2,0,0,0,10.0,11,5,5,2,5,0,9,2,0,1,45,1.600,9.9,1.8,4.5,8.1,1.80,1
Jerome Williams,32,1,1,.500,9.90,2,2,0,0,0,0,10.0,18,11,11,0,3,0,6,0,0,0,48,2.100,16.2,0.0,2.7,5.4,2.00,1
Spencer Patton,26,1,0,1.000,0.96,9,0,2,0,0,0,9.1,6,1,1,0,2,0,8,0,0,0,35,0.857,5.8,0.0,1.9,7.7,4.00,1
Pedro Figueroa*,28,2,1,.667,4.00,10,0,1,0,0,0,9.0,10,7,4,1,3,0,3,2,0,0,42,1.444,10.0,1.0,3.0,3.0,1.00,1
Ben Rowen,25,0,0,,4.15,8,0,4,0,0,0,8.2,10,4,4,0,4,3,7,0,0,0,39,1.615,10.4,0.0,4.2,7.3,1.75,1
Jon Edwards,26,0,0,,4.32,9,0,3,0,0,0,8.1,13,5,4,0,5,0,9,1,0,2,43,2.160,14.0,0.0,5.4,9.7,1.80,1
Ryan Feierabend*,28,0,0,,6.14,6,0,0,0,0,0,7.1,12,5,5,0,2,1,4,0,0,1,36,1.909,14.7,0.0,2.5,4.9,2.00,1
