Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Ian Kennedy,29,13,13,.500,3.63,33,33,0,0,0,0,201.0,189,85,81,16,70,4,207,4,0,11,846,1.289,8.5,0.7,3.1,9.3,2.96,1
Tyson Ross,27,13,14,.481,2.81,31,31,0,2,1,0,195.2,165,75,61,13,72,2,195,9,0,12,811,1.211,7.6,0.6,3.3,9.0,2.71,1
Eric Stults*,34,8,17,.320,4.30,32,32,0,0,0,0,176.0,197,93,84,26,45,3,111,4,0,3,763,1.375,10.1,1.3,2.3,5.7,2.47,1
Andrew Cashner,27,5,7,.417,2.55,19,19,0,2,2,0,123.1,110,42,35,7,29,3,93,1,0,2,506,1.127,8.0,0.5,2.1,6.8,3.21,1
Odrisamer Despaigne,27,4,7,.364,3.36,16,16,0,0,0,0,96.1,85,44,36,6,32,0,65,5,0,0,404,1.215,7.9,0.6,3.0,6.1,2.03,1
Jesse Hahn,24,7,4,.636,3.07,14,12,2,0,0,0,73.1,57,26,25,4,32,1,70,4,0,4,306,1.214,7.0,0.5,3.9,8.6,2.19,1
Huston Street,30,1,0,1.000,1.09,33,0,28,0,0,24,33.0,18,4,4,3,7,0,34,0,0,0,121,0.758,4.9,0.8,1.9,9.3,4.86,1
Dale Thayer,33,4,5,.444,2.34,70,0,25,0,0,0,65.1,53,19,17,9,16,3,62,2,0,1,265,1.056,7.3,1.2,2.2,8.5,3.88,1
Nick Vincent,27,1,2,.333,3.60,63,0,7,0,0,0,55.0,44,22,22,5,11,1,62,2,0,1,215,1.000,7.2,0.8,1.8,10.1,5.64,1
Kevin Quackenbush,25,3,3,.500,2.48,56,0,18,0,0,6,54.1,42,15,15,2,18,4,56,2,1,1,222,1.104,7.0,0.3,3.0,9.3,3.11,1
Alex Torres*,26,2,1,.667,3.33,70,0,12,0,0,0,54.0,46,25,20,2,33,1,51,3,0,6,241,1.463,7.7,0.3,5.5,8.5,1.55,1
Tim Stauffer,32,6,2,.750,3.50,44,3,22,0,0,0,64.1,67,25,25,4,23,4,67,2,1,1,273,1.399,9.4,0.6,3.2,9.4,2.91,1
Robbie Erlin*,23,4,5,.444,4.99,13,11,1,0,0,0,61.1,71,34,34,6,15,1,46,1,0,4,264,1.402,10.4,0.9,2.2,6.8,3.07,1
Joaquin Benoit,36,4,2,.667,1.49,53,0,17,0,0,11,54.1,28,10,9,3,14,2,64,1,1,3,205,0.773,4.6,0.5,2.3,10.6,4.57,1
Blaine Boyer,32,0,1,.000,3.57,32,0,11,0,0,0,40.1,34,16,16,2,8,0,29,0,0,1,160,1.041,7.6,0.4,1.8,6.5,3.63,1
Donn Roach,24,1,0,1.000,4.75,16,1,5,0,0,0,30.1,36,17,16,2,15,1,17,4,0,4,140,1.681,10.7,0.6,4.5,5.0,1.13,1
Joe Wieland,24,1,0,1.000,7.15,4,2,0,0,0,0,11.1,16,9,9,3,5,0,8,0,1,0,54,1.853,12.7,2.4,4.0,6.4,1.60,1
Jason Lane*,37,0,1,.000,0.87,3,1,0,0,0,0,10.1,7,1,1,1,0,0,6,0,0,0,39,0.677,6.1,0.9,0.0,5.2,,1
Frank Garces*,24,0,0,,2.00,15,0,1,0,0,0,9.0,8,2,2,1,1,0,10,1,0,0,37,1.000,8.0,1.0,1.0,10.0,10.00,1
R.J. Alvarez,23,0,0,,1.13,10,0,4,0,0,0,8.0,3,1,1,0,5,1,9,1,0,1,33,1.000,3.4,0.0,5.6,10.1,1.80,1
Troy Patton*,28,0,0,,2.45,8,0,4,0,0,0,7.1,7,2,2,1,1,0,8,0,0,0,32,1.091,8.6,1.2,1.2,9.8,8.00,1
Leonel Campos,26,0,0,,5.14,6,0,1,0,0,0,7.0,9,5,4,0,4,0,9,0,0,2,33,1.857,11.6,0.0,5.1,11.6,2.25,1
Billy Buckner,30,0,1,.000,4.76,1,1,0,0,0,0,5.2,6,3,3,1,4,1,4,0,0,0,27,1.765,9.5,1.6,6.4,6.4,1.00,1
Hector Ambriz,30,0,0,,4.50,1,0,0,0,0,0,2.0,2,2,1,0,2,0,1,0,0,0,9,2.000,9.0,0.0,9.0,4.5,0.50,1
