Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Julio Teheran,23,14,13,.519,2.89,33,33,0,4,2,0,221.0,188,82,71,22,51,4,186,4,1,1,884,1.081,7.7,0.9,2.1,7.6,3.65,1
Aaron Harang,36,12,12,.500,3.57,33,33,0,0,0,0,204.1,215,88,81,15,71,4,161,1,0,9,876,1.400,9.5,0.7,3.1,7.1,2.27,1
Ervin Santana,31,14,10,.583,3.95,31,31,0,0,0,0,196.0,193,90,86,16,63,4,179,4,0,9,817,1.306,8.9,0.7,2.9,8.2,2.84,1
Alex Wood*,23,11,11,.500,2.78,35,24,2,1,0,0,171.2,151,58,53,16,45,1,170,6,0,5,694,1.142,7.9,0.8,2.4,8.9,3.78,1
Mike Minor*,26,6,12,.333,4.77,25,25,0,0,0,0,145.1,165,77,77,21,44,2,120,6,0,5,637,1.438,10.2,1.3,2.7,7.4,2.73,1
Craig Kimbrel,26,0,3,.000,1.61,63,0,54,0,0,47,61.2,30,13,11,2,26,0,95,2,0,6,244,0.908,4.4,0.3,3.8,13.9,3.65,1
David Carpenter,28,6,4,.600,3.54,65,0,14,0,0,3,61.0,61,27,24,5,16,0,67,3,0,1,259,1.262,9.0,0.7,2.4,9.9,4.19,1
Anthony Varvaro,29,3,3,.500,2.63,61,0,17,0,0,0,54.2,46,18,16,5,13,1,50,0,0,5,218,1.079,7.6,0.8,2.1,8.2,3.85,1
Jordan Walden,26,0,2,.000,2.88,58,0,8,0,0,3,50.0,33,17,16,2,27,1,62,0,0,9,205,1.200,5.9,0.4,4.9,11.2,2.30,1
Luis Avilan*,24,4,1,.800,4.57,62,0,14,0,0,0,43.1,47,22,22,2,21,7,25,3,0,5,193,1.569,9.8,0.4,4.4,5.2,1.19,1
David Hale,26,4,5,.444,3.30,45,6,13,0,0,0,87.1,89,38,32,5,39,8,44,3,0,5,383,1.466,9.2,0.5,4.0,4.5,1.13,1
Gavin Floyd,31,2,2,.500,2.65,9,9,0,0,0,0,54.1,55,23,16,6,13,0,45,3,0,6,229,1.252,9.1,1.0,2.2,7.5,3.46,1
James Russell*,28,0,0,,2.22,22,1,8,0,0,0,24.1,21,6,6,0,4,1,16,0,0,0,96,1.027,7.8,0.0,1.5,5.9,4.00,1
Shae Simmons,23,1,2,.333,2.91,26,0,6,0,0,1,21.2,15,8,7,1,11,1,23,0,0,1,89,1.200,6.2,0.4,4.6,9.6,2.09,1
Gus Schlosser,25,0,1,.000,7.64,15,0,8,0,0,0,17.2,23,16,15,2,6,1,8,1,0,3,81,1.642,11.7,1.0,3.1,4.1,1.33,1
Juan Jaime,26,0,0,,5.84,16,0,4,0,0,0,12.1,14,8,8,1,9,0,18,1,0,3,62,1.865,10.2,0.7,6.6,13.1,2.00,1
Chasen Shreve*,23,0,0,,0.73,15,0,4,0,0,0,12.1,10,1,1,0,3,0,15,0,0,1,50,1.054,7.3,0.0,2.2,10.9,5.00,1
Ian Thomas*,27,1,2,.333,4.22,16,0,4,0,0,0,10.2,10,5,5,0,6,1,13,0,0,1,48,1.500,8.4,0.0,5.1,11.0,2.17,1
Pedro Beato,27,0,0,,0.00,3,0,1,0,0,0,4.1,3,0,0,0,3,0,3,0,0,0,19,1.385,6.2,0.0,6.2,6.2,1.00,1
Ryan Buchter*,27,1,0,1.000,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,3,1.000,0.0,0.0,9.0,9.0,1.00,1
