Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Wade Miley*,27,8,12,.400,4.34,33,33,0,0,0,0,201.1,207,103,97,23,75,3,183,4,0,9,866,1.401,9.3,1.0,3.4,8.2,2.44,1
Josh Collmenter,28,11,9,.550,3.46,33,28,2,1,1,1,179.1,163,75,69,18,39,2,115,4,0,2,719,1.126,8.2,0.9,2.0,5.8,2.95,1
Chase Anderson,26,9,7,.563,4.01,21,21,0,0,0,0,114.1,117,56,51,16,40,2,105,2,0,4,486,1.373,9.2,1.3,3.1,8.3,2.63,1
Trevor Cahill,26,3,12,.200,5.61,32,17,8,0,0,1,110.2,123,76,69,9,55,2,105,4,0,5,499,1.608,10.0,0.7,4.5,8.5,1.91,1
Brandon McCarthy,30,3,10,.231,5.01,18,18,0,0,0,0,109.2,131,65,61,15,20,4,93,2,0,3,466,1.377,10.8,1.2,1.6,7.6,4.65,1
Bronson Arroyo,37,7,4,.636,4.08,14,14,0,1,0,0,86.0,92,40,39,10,19,1,47,3,0,2,357,1.291,9.6,1.0,2.0,4.9,2.47,1
Addison Reed,25,1,7,.125,4.25,62,0,55,0,0,32,59.1,57,31,28,11,15,2,69,1,0,3,252,1.213,8.6,1.7,2.3,10.5,4.60,1
Randall Delgado,24,4,4,.500,4.87,47,4,6,0,0,0,77.2,71,44,42,6,35,2,86,3,0,5,339,1.365,8.2,0.7,4.1,10.0,2.46,1
Brad Ziegler,34,5,3,.625,3.49,68,0,11,0,0,1,67.0,60,29,26,5,24,6,54,3,0,0,281,1.254,8.1,0.7,3.2,7.3,2.25,1
Oliver Perez*,32,3,4,.429,2.91,68,0,11,0,0,0,58.2,50,25,19,5,24,2,76,7,3,3,256,1.261,7.7,0.8,3.7,11.7,3.17,1
Evan Marshall,24,4,4,.500,2.74,57,0,11,0,0,0,49.1,50,17,15,3,17,3,54,2,0,3,210,1.358,9.1,0.5,3.1,9.9,3.18,1
Vidal Nuno III*,26,0,7,.000,3.76,14,14,0,0,0,0,83.2,71,37,35,10,20,0,69,4,0,1,340,1.088,7.6,1.1,2.2,7.4,3.45,1
Mike Bolsinger,26,1,6,.143,5.50,10,9,0,0,0,0,52.1,66,36,32,7,17,1,48,0,1,0,238,1.586,11.4,1.2,2.9,8.3,2.82,1
Eury De La Rosa*,24,2,0,1.000,2.95,25,0,12,0,0,0,36.2,37,12,12,2,14,4,32,3,1,1,158,1.391,9.1,0.5,3.4,7.9,2.29,1
Matt Stites,24,0,0,,5.73,37,0,11,0,0,0,33.0,33,23,21,6,16,1,26,1,0,2,148,1.485,9.0,1.6,4.4,7.1,1.63,1
Will Harris,29,0,3,.000,4.34,29,0,8,0,0,0,29.0,27,14,14,3,9,2,35,2,0,1,120,1.241,8.4,0.9,2.8,10.9,3.89,1
Joe Thatcher*,32,1,0,1.000,2.63,37,0,7,0,0,0,24.0,23,10,7,3,3,1,25,2,0,1,100,1.083,8.6,1.1,1.1,9.4,8.33,1
Zeke Spruill,24,1,1,.500,3.57,6,1,1,0,0,0,22.2,27,11,9,0,4,0,14,1,0,0,99,1.368,10.7,0.0,1.6,5.6,3.50,1
Andrew Chafin*,24,0,1,.000,3.86,3,3,0,0,0,0,14.0,13,6,6,0,8,1,10,1,0,2,60,1.500,8.4,0.0,5.1,6.4,1.25,1
J.J. Putz,37,1,1,.500,6.59,18,0,8,0,0,0,13.2,17,10,10,1,6,1,14,1,0,2,62,1.683,11.2,0.7,4.0,9.2,2.33,1
Bo Schultz,28,0,1,.000,7.88,4,0,3,0,0,0,8.0,13,7,7,1,1,1,5,0,0,0,36,1.750,14.6,1.1,1.1,5.6,5.00,1
Ryan Rowland-Smith*,31,0,0,,4.91,6,0,3,0,0,0,7.1,7,5,4,0,4,1,9,0,0,1,33,1.500,8.6,0.0,4.9,11.0,2.25,1
Daniel Hudson,27,0,1,.000,13.50,3,0,0,0,0,0,2.2,4,4,4,0,0,0,2,0,0,0,13,1.500,13.5,0.0,0.0,6.8,,1
Bradin Hagens,25,0,1,.000,3.38,2,0,2,0,0,0,2.2,4,1,1,0,3,1,2,0,0,0,14,2.625,13.5,0.0,10.1,6.8,0.67,1
Joe Paterson*,28,0,0,,33.75,3,0,1,0,0,0,1.1,4,5,5,0,1,0,0,1,0,0,10,3.750,27.0,0.0,6.8,0.0,0.00,1
