Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Steve Sparks,35,14,9,.609,3.65,35,33,2,8,1,0,232.0,244,110,94,22,64,1,116,6,2,8,982,117,4.19,1.328,9.5,0.9,2.5,4.5,1.81,1
SP,Jeff Weaver,24,13,16,.448,4.08,33,33,0,5,0,0,229.1,235,116,104,19,68,4,152,14,0,3,985,104,3.87,1.321,9.2,0.7,2.7,6.0,2.24,1
SP,Chris Holt,29,7,9,.438,5.77,30,22,3,1,0,0,151.1,197,102,97,18,57,5,80,8,0,3,695,74,4.83,1.678,11.7,1.1,3.4,4.8,1.40,1
SP,Jose Lima,28,5,10,.333,4.71,18,18,0,2,0,0,112.2,120,66,59,23,22,2,43,4,0,1,470,91,5.63,1.260,9.6,1.8,1.8,3.4,1.95,1
SP,Dave Mlicki,33,4,8,.333,7.33,15,15,0,0,0,0,81.0,118,69,66,19,41,2,48,6,0,3,391,58,6.65,1.963,13.1,2.1,4.6,5.3,1.17,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Matt Anderson,24,3,1,.750,4.82,62,0,41,0,0,22,56.0,56,33,30,2,18,4,52,0,1,9,239,89,2.62,1.321,9.0,0.3,2.9,8.4,2.89,1
RP,Danny Patterson,30,5,4,.556,3.06,60,0,16,0,0,1,64.2,64,24,22,4,12,5,27,4,0,2,258,140,3.76,1.175,8.9,0.6,1.7,3.8,2.25,1
RP,Heath Murray*,28,1,7,.125,6.54,40,4,10,0,0,0,63.1,82,48,46,11,40,5,42,3,0,1,301,65,6.02,1.926,11.7,1.6,5.7,6.0,1.05,1
RP,Todd Jones,33,4,5,.444,4.62,45,0,28,0,0,11,48.2,60,31,25,6,22,1,39,0,0,3,225,93,4.41,1.685,11.1,1.1,4.1,7.2,1.77,1
RP,C.J. Nitkowski*,28,0,3,.000,5.56,56,0,12,0,0,0,45.1,51,30,28,7,31,7,38,5,0,1,220,77,5.76,1.809,10.1,1.4,6.2,7.5,1.23,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victor Santos,24,2,2,.500,3.30,33,7,6,0,0,0,76.1,62,33,28,9,49,4,52,3,0,0,335,130,5.26,1.454,7.3,1.1,5.8,6.1,1.06,1
,Adam Pettyjohn*,24,1,6,.143,5.82,16,9,1,0,0,0,65.0,81,48,42,10,21,2,40,4,0,2,293,74,4.97,1.569,11.2,1.4,2.9,5.5,1.90,1
,Nate Cornejo,21,4,4,.500,7.38,10,10,0,0,0,0,42.2,63,38,35,10,28,4,22,3,0,1,217,58,7.24,2.133,13.3,2.1,5.9,4.6,0.79,1
,Matt Perisho*,26,2,3,.400,5.72,30,4,5,0,0,0,39.1,54,29,25,5,14,1,19,4,0,0,186,75,5.11,1.729,12.4,1.1,3.2,4.3,1.36,1
,Dave Borkowski,24,0,2,.000,6.37,15,0,7,0,0,0,29.2,30,21,21,5,15,3,30,3,0,0,135,68,5.04,1.517,9.1,1.5,4.6,9.1,2.00,1
,Willie Blair,35,1,4,.200,10.50,9,4,1,0,0,0,24.0,38,30,28,3,11,3,15,3,1,0,121,41,5.17,2.042,14.3,1.1,4.1,5.6,1.36,1
,Luis Pineda,26,0,1,.000,4.91,16,0,4,0,0,0,18.1,16,10,10,2,14,2,13,0,0,0,82,88,5.34,1.636,7.9,1.0,6.9,6.4,0.93,1
,Adam Bernero,24,0,0,,7.30,5,0,4,0,0,0,12.1,13,13,10,4,4,0,8,1,0,1,56,60,7.18,1.378,9.5,2.9,2.9,5.8,2.00,1
,Kevin Tolar*,30,0,0,,6.75,9,0,1,0,0,0,10.2,7,8,8,0,13,1,11,0,0,1,50,65,4.64,1.875,5.9,0.0,11.0,9.3,0.85,1
,Matt Miller*,26,0,0,,7.45,13,0,5,0,0,0,9.2,16,8,8,0,4,0,6,1,0,1,48,59,3.36,2.069,14.9,0.0,3.7,5.6,1.50,1
,Mark Redman*,27,0,2,.000,6.00,2,2,0,0,0,0,9.0,11,6,6,1,4,0,4,1,0,0,42,74,5.27,1.667,11.0,1.0,4.0,4.0,1.00,1
,Brian Moehler,29,0,0,,3.38,1,1,0,0,0,0,8.0,6,3,3,0,1,0,2,0,0,0,30,132,2.92,0.875,6.8,0.0,1.1,2.3,2.00,1
,Team Totals,28.3,66,96,.407,5.01,162,162,146,16,1,34,1429.1,1624,876,795,180,553,56,859,73,4,40,6361,86,4.80,1.523,10.2,1.1,3.5,5.4,1.55,1
,Rank in 14 AL teams,,11,4,,13,,,,1,12,11,13 ,13,12,13,8,10,,14,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
