Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Chris Iannetta,29,79,253,221,27,53,6,1,9,26,1,3,29,60,.240,.332,.398,.730,88,4,2,0,1,0,1,2012,MLB,LAA
Albert Pujols,32,154,670,607,85,173,50,0,30,105,8,1,52,76,.285,.343,.516,.859,313,19,5,0,6,16,1,2012,MLB,LAA
Howie Kendrick,28,147,594,550,57,158,32,3,8,67,14,6,29,115,.287,.325,.400,.725,220,26,4,6,5,1,1,2012,MLB,LAA
Erick Aybar#,28,141,554,517,67,150,31,5,8,45,20,4,22,61,.290,.324,.416,.740,215,11,5,7,2,1,1,2012,MLB,LAA
Alberto Callaspo#,29,138,520,457,55,115,20,0,10,53,4,3,56,59,.252,.331,.361,.692,165,6,0,3,4,1,1,2012,MLB,LAA
Vernon Wells,33,77,262,243,36,56,9,0,11,29,3,1,16,35,.230,.279,.403,.682,98,5,1,0,2,0,1,2012,MLB,LAA
Mike Trout,20,139,639,559,129,182,27,8,30,83,49,5,67,139,.326,.399,.564,.963,315,7,6,0,7,4,1,2012,MLB,LAA
Torii Hunter,36,140,584,534,81,167,24,1,16,92,9,1,38,133,.313,.365,.451,.817,241,15,8,1,3,1,1,2012,MLB,LAA
Kendrys Morales#,29,134,522,484,61,132,26,1,22,73,0,1,31,116,.273,.320,.467,.787,226,11,4,0,3,1,1,2012,MLB,LAA
Mark Trumbo,26,144,586,544,66,146,19,3,32,95,4,5,36,153,.268,.317,.491,.808,267,12,4,0,2,3,1,2012,MLB,LAA
Maicer Izturis#,31,100,319,289,35,74,11,0,2,20,17,2,25,38,.256,.320,.315,.634,91,10,2,3,0,0,1,2012,MLB,LAA
Bobby Wilson,29,75,201,171,19,36,5,0,3,13,0,0,15,33,.211,.277,.292,.569,50,7,1,13,1,0,1,2012,MLB,LAA
Peter Bourjos,25,101,195,168,27,37,7,0,3,19,3,1,15,44,.220,.291,.315,.606,53,2,3,6,3,0,1,2012,MLB,LAA
John Hester,28,39,95,85,14,18,1,0,3,4,0,0,8,25,.212,.287,.329,.617,28,1,1,1,0,0,1,2012,MLB,LAA
Bobby Abreu*,38,8,27,24,1,5,3,0,0,5,0,0,2,5,.208,.259,.333,.593,8,1,0,0,1,0,1,2012,MLB,LAA
Kole Calhoun*,24,21,25,23,2,4,1,0,0,1,1,0,2,6,.174,.240,.217,.457,5,0,0,0,0,1,1,2012,MLB,LAA
Hank Conger#,24,7,22,18,0,3,0,0,0,1,0,0,1,0,.167,.238,.167,.405,3,1,1,1,1,0,1,2012,MLB,LAA
Andrew Romine#,26,12,21,17,2,7,0,0,0,1,1,0,3,3,.412,.500,.412,.912,7,0,0,1,0,0,1,2012,MLB,LAA
Jean Segura,22,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,1,2012,MLB,LAA
Ryan Langerhans*,32,2,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,1,2012,MLB,LAA
Alexi Amarista*,23,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,2012,MLB,LAA
