Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Johan Santana*,25,20,6,.769,2.61,34,34,0,1,1,0,228.0,156,70,66,24,54,0,265,9,0,7,881,182,2.92,0.921,6.2,0.9,2.1,10.5,4.91,1
SP,Brad Radke,31,11,8,.579,3.48,34,34,0,1,1,0,219.2,229,92,85,23,26,1,143,6,0,2,901,136,3.55,1.161,9.4,0.9,1.1,5.9,5.50,1
SP,Carlos Silva,25,14,8,.636,4.21,33,33,0,1,1,0,203.0,255,100,95,23,35,2,76,5,1,5,869,112,4.36,1.429,11.3,1.0,1.6,3.4,2.17,1
SP,Kyle Lohse,25,9,13,.409,5.34,35,34,1,1,1,0,194.0,240,128,115,28,76,5,111,7,0,6,883,89,5.06,1.629,11.1,1.3,3.5,5.1,1.46,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Joe Nathan,29,1,2,.333,1.62,73,0,63,0,0,44,72.1,48,14,13,3,23,3,89,2,0,5,284,294,2.16,0.982,6.0,0.4,2.9,11.1,3.87,1
RP,Juan Rincon,25,11,6,.647,2.63,77,0,18,0,0,2,82.0,52,27,24,5,32,1,106,2,0,2,327,180,2.50,1.024,5.7,0.5,3.5,11.6,3.31,1
RP,J.C. Romero*,28,7,4,.636,3.51,74,0,12,0,0,1,74.1,61,32,29,4,38,6,69,5,0,5,319,135,3.63,1.332,7.4,0.5,4.6,8.4,1.82,1
RP,Joe Roa,32,2,3,.400,4.50,48,0,11,0,0,0,70.0,84,38,35,9,24,0,47,5,0,1,318,106,4.62,1.543,10.8,1.2,3.1,6.0,1.96,1
RP,Aaron Fultz*,30,3,3,.500,5.04,55,0,16,0,0,1,50.0,50,28,28,5,23,2,37,1,0,3,216,94,4.31,1.460,9.0,0.9,4.1,6.7,1.61,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Terry Mulholland*,41,5,9,.357,5.18,39,15,9,0,0,0,123.1,163,76,71,17,33,3,60,5,0,2,549,92,4.79,1.589,11.9,1.2,2.4,4.4,1.82,1
,Seth Greisinger,28,2,5,.286,6.18,12,9,1,0,0,0,51.0,68,40,35,12,15,1,36,2,0,1,233,77,5.70,1.627,12.0,2.1,2.6,6.4,2.40,1
,Grant Balfour,26,4,1,.800,4.35,36,0,14,0,0,0,39.1,35,19,19,4,21,1,42,2,0,3,172,110,3.99,1.424,8.0,0.9,4.8,9.6,2.00,1
,Jesse Crain,22,3,0,1.000,2.00,22,0,3,0,0,0,27.0,17,6,6,2,12,1,14,1,0,1,109,239,4.42,1.074,5.7,0.7,4.0,4.7,1.17,1
,Matt Guerrier,25,0,1,.000,5.68,9,2,5,0,0,0,19.0,22,13,12,5,6,0,11,1,0,0,84,85,6.42,1.474,10.4,2.4,2.8,5.2,1.83,1
,Carlos Pulido*,32,0,0,,8.74,6,0,3,0,0,0,11.1,16,13,11,2,4,1,9,1,0,0,55,56,5.08,1.765,12.7,1.6,3.2,7.1,2.25,1
,J.D. Durbin,22,0,1,.000,7.36,4,1,2,0,0,0,7.1,12,6,6,0,6,0,6,0,0,1,38,67,3.87,2.455,14.7,0.0,7.4,7.4,1.00,1
,Brad Thomas*,26,0,0,,16.88,3,0,0,0,0,0,2.2,7,5,5,0,1,0,0,0,0,1,16,31,4.17,3.000,23.6,0.0,3.4,0.0,0.00,1
,Joe Beimel*,27,0,0,,43.20,3,0,0,0,0,0,1.2,8,8,8,1,2,0,2,0,0,0,15,13,12.05,6.000,43.2,5.4,10.8,10.8,1.00,1
,Team Totals,28.2,92,70,.568,4.03,162,162,158,4,4,48,1476.0,1523,715,661,167,431,27,1123,54,1,45,6269,117,3.98,1.324,9.3,1.0,2.6,6.8,2.61,1
,Rank in 14 AL teams,,3,11,,1,,,,10,5,4,1 ,9,1,1,4,1,,3,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
