Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Salvador Perez,26,139,546,514,57,127,28,2,22,64,0,0,22,119,.247,.288,.438,.725,91,225,12,8,0,2,3,1
1B,Eric Hosmer*,26,158,667,605,80,161,24,1,25,104,5,3,57,132,.266,.328,.433,.761,102,262,18,1,0,4,5,1
2B,Whit Merrifield,27,81,332,311,44,88,22,3,2,29,8,3,19,72,.283,.323,.392,.716,91,122,1,0,1,1,1,1
SS,Alcides Escobar,29,162,682,637,57,166,24,6,7,55,17,4,27,96,.261,.292,.350,.642,72,223,16,3,10,5,2,1
3B,Cheslor Cuthbert,23,128,510,475,49,130,28,1,12,46,2,0,32,96,.274,.318,.413,.731,95,196,14,0,1,2,0,1
LF,Alex Gordon*,32,128,506,445,62,98,16,2,17,40,8,1,52,148,.220,.312,.380,.692,85,169,9,8,0,1,3,1
CF,Lorenzo Cain,30,103,434,397,56,114,19,1,9,56,14,5,31,84,.287,.339,.408,.747,100,162,15,2,0,4,3,1
RF,Paulo Orlando,30,128,484,457,52,138,24,4,5,43,14,3,13,105,.302,.329,.405,.734,96,185,12,7,3,3,1,1
DH,Kendrys Morales#,33,154,618,558,65,147,24,0,30,93,0,0,48,120,.263,.327,.468,.795,110,261,20,7,0,5,2,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OF,Jarrod Dyson*,31,107,337,299,46,83,14,8,1,25,30,7,26,39,.278,.340,.388,.728,96,116,4,3,8,1,2,1
2B,Christian Colon,27,54,161,147,13,34,6,0,1,13,0,1,11,31,.231,.294,.293,.586,59,43,4,2,1,0,0,1
2B,Omar Infante,34,39,149,134,16,32,9,1,0,11,0,0,9,23,.239,.279,.321,.600,61,43,0,0,2,4,0,1
2B,Adalberto Mondesi#,20,47,149,135,16,25,1,3,2,13,9,1,6,48,.185,.231,.281,.512,37,38,1,2,6,0,0,1
C,Drew Butera,32,55,133,123,18,35,10,1,4,16,0,0,8,36,.285,.328,.480,.808,113,59,2,0,2,0,0,1
3B,Mike Moustakas*,27,27,113,104,12,25,6,0,7,13,0,1,9,13,.240,.301,.500,.801,110,52,5,0,0,0,0,1
OF,Brett Eibner,27,26,85,78,11,18,6,0,3,10,0,0,6,23,.231,.286,.423,.709,87,33,1,0,1,0,1,1
OF,Rey Fuentes*,25,13,44,41,2,13,1,0,0,5,0,2,3,8,.317,.364,.341,.705,92,14,0,0,0,0,0,1
OF,Billy Burns#,26,24,40,37,7,9,0,0,0,1,3,2,0,7,.243,.275,.243,.518,42,9,0,2,0,1,0,1
RF,Hunter Dozier,24,8,21,19,4,4,1,0,0,1,0,0,2,8,.211,.286,.263,.549,50,5,0,0,0,0,0,1
1B,Daniel Nava#,33,9,12,11,1,1,1,0,0,0,0,0,1,4,.091,.167,.182,.348,-6,2,0,0,0,0,0,1
C,Tony Cruz,29,4,5,4,0,0,0,0,0,1,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,1,0,1
DH,Terrance Gore,25,17,3,3,6,0,0,0,0,0,11,2,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Danny Duffy*,27,2,6,5,1,1,0,0,0,1,0,0,0,1,.200,.200,.200,.400,8,1,0,0,1,0,0,1
P,Edinson Volquez,32,2,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Dillon Gee,30,4,3,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,2,0,0,1
P,Yordano Ventura,25,2,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,81,1,0,0,0,0,0,1
P,Ian Kennedy,31,2,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Chris Young,37,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Scott Alexander*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Joakim Soria,32,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kris Medlen#,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Brooks Pounders,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Matt Strahm,24,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Chien-Ming Wang,36,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Brian Flynn*,26,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kelvin Herrera,26,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Alec Mills,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Peter Moylan,37,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kevin McCarthy,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Luke Hochevar,32,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Jason Vargas*,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Wade Davis,30,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,28.6,162,6052,5552,675,1450,264,33,147,640,121,35,382,1224,.261,.312,.400,.712,90,2221,134,45,38,34,23,1
,Rank in 15 AL teams,,,,4,13,3,11,2,15,,2,11,15,6,5,13,14,14,,12,,10,,12,,1
,Non-Pitcher Totals,28.6,162,6031,5534,674,1448,264,33,147,639,121,35,382,1216,.262,.313,.401,.714,90,2219,134,45,35,34,23,1
,Pitcher Totals,26.9,162,21,18,1,2,0,0,0,1,0,0,0,8,.111,.111,.111,.222,-40,2,0,0,3,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
