Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,James McCann,26,105,373,344,31,76,9,1,12,48,0,1,23,109,.221,.272,.358,.629,69,123,12,2,1,3,0,1
1B,Miguel Cabrera,33,158,679,595,92,188,31,1,38,108,0,0,75,116,.316,.393,.563,.956,155,335,26,4,0,5,15,1
2B,Ian Kinsler,34,153,679,618,117,178,29,4,28,83,14,6,45,115,.288,.348,.484,.831,122,299,5,13,0,3,0,1
SS,José Iglesias,26,137,513,467,57,119,26,0,4,32,7,4,28,50,.255,.306,.336,.643,74,157,12,8,7,3,1,1
3B,Nick Castellanos,24,110,447,411,54,117,25,4,18,58,1,1,28,111,.285,.331,.496,.827,120,204,4,3,0,5,1,1
LF,Justin Upton,28,153,626,570,81,140,28,2,31,87,9,4,50,179,.246,.310,.465,.775,106,265,15,4,0,2,3,1
CF,Cameron Maybin,29,94,391,349,65,110,14,5,4,43,15,6,36,69,.315,.383,.418,.801,118,146,8,3,2,1,0,1
RF,J.D. Martinez,28,120,517,460,69,141,35,2,22,68,1,2,49,128,.307,.373,.535,.908,142,246,13,3,0,5,2,1
DH,Victor Martinez#,37,154,610,553,65,160,22,0,27,86,0,0,50,90,.289,.351,.476,.826,121,263,19,4,0,3,8,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Jarrod Saltalamacchia#,31,92,292,246,30,42,5,1,12,38,0,0,41,104,.171,.284,.346,.630,70,85,1,0,0,5,1,1
UT,Andrew Romine#,30,108,194,174,21,41,5,2,2,16,8,0,13,38,.236,.304,.322,.626,70,56,5,4,3,0,0,1
RF,Mike Aviles,35,68,181,167,17,35,5,1,1,6,2,2,9,27,.210,.258,.269,.528,44,45,5,2,3,0,0,1
CF,Tyler Collins*,26,56,151,136,14,32,2,3,4,15,1,1,13,38,.235,.305,.382,.687,85,52,1,1,0,1,0,1
CF,Anthony Gose*,25,30,101,91,11,19,2,2,2,7,0,1,9,38,.209,.287,.341,.628,70,31,1,1,0,0,0,1
OF,Steven Moya*,24,31,100,94,9,24,4,2,5,11,0,1,5,38,.255,.290,.500,.790,108,47,0,0,0,1,0,1
3B,Casey McGehee,33,30,96,92,4,21,1,0,0,1,0,0,3,14,.228,.260,.239,.500,37,22,5,1,0,0,0,1
IF,Erick Aybar#,32,29,91,80,7,20,5,0,1,8,0,0,11,11,.250,.341,.350,.691,88,28,1,0,0,0,1,1
UT,JaCoby Jones,24,13,28,28,3,6,3,0,0,2,0,0,0,12,.214,.214,.321,.536,42,9,1,0,0,0,0,1
C,Bobby Wilson,33,5,15,13,0,2,0,0,0,2,0,0,1,3,.154,.200,.154,.354,-2,2,1,0,0,1,0,1
MI,Dixon Machado,24,8,13,10,1,1,0,0,0,0,0,0,3,4,.100,.308,.100,.408,19,1,0,0,0,0,0,1
OF,Alex Presley*,30,3,5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,9,1,0,0,0,0,0,1
1B,John Hicks,26,1,2,2,1,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,291,2,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Anibal Sanchez,32,2,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Justin Verlander,33,2,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,9,1,0,0,0,0,0,1
P,Jordan Zimmermann,30,3,5,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,37,1,0,0,1,0,0,1
P,Daniel Norris*,23,1,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,4,0,0,0,0,0,0,1
P,Michael Fulmer,23,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Shane Greene,27,3,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Bobby Parnell,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Buck Farmer*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Bruce Rondon,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Francisco Rodriguez,34,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kyle Ryan*,24,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Joe Mantiply,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Matthew Boyd*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Drew VerHagen,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Alex Wilson,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Dustin Molleken*,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Blaine Hardy*,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Logan Kensing,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Warwick Saupold,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Justin Wilson*,28,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Mike Pelfrey,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Mark Lowe*,33,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,30.1,161,6127,5526,750,1476,252,30,211,719,58,29,493,1303,.267,.331,.438,.769,106,2421,135,53,17,38,32,1
,Rank in 15 AL teams,,,,7,6,2,13,5,6,,11,7,7,10,2,2,3,2,,3,,5,,10,,1
,Non-Pitcher Totals,30.1,161,6104,5505,749,1474,252,30,211,719,58,29,492,1294,.268,.332,.439,.771,107,2419,135,53,16,38,32,1
,Pitcher Totals,26.9,161,23,21,1,2,0,0,0,0,0,0,1,9,.095,.136,.095,.232,-35,2,0,0,1,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
