Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
John Lambert*,22,1,0,1.000,0.00,1,0,0,0,0,0,1.0,2,0,0,0,1,0,2,0,0,0,6,3.000,18.0,0.0,9.0,18.0,2.00,0,2010,Rookie,MIA
Chris Leroux,26,1,0,1.000,4.50,3,0,0,0,0,0,4.0,4,2,2,0,0,0,3,0,0,0,16,1.000,9.0,0.0,0.0,6.8,,1,2010,Rookie,MIA
Dan Mahoney,22,1,2,.333,6.49,11,11,0,0,0,0,34.2,33,28,25,0,21,0,22,2,0,13,157,1.558,8.6,0.0,5.5,5.7,1.05,0,2010,Rookie,MIA
Jheyson Manzueta,20,3,0,1.000,1.93,12,9,0,0,0,0,46.2,27,12,10,0,23,0,50,13,1,3,200,1.071,5.2,0.0,4.4,9.6,2.17,0,2010,Rookie,MIA
Zach Neal,21,1,0,1.000,0.84,3,2,0,0,0,0,10.2,8,2,1,0,1,0,16,1,0,0,43,0.844,6.8,0.0,0.8,13.5,16.00,1,2010,Rookie,MIA
Alan Oaks,22,0,0,,3.00,2,0,0,0,0,0,3.0,4,3,1,0,1,0,3,0,0,2,14,1.667,12.0,0.0,3.0,9.0,3.00,0,2010,Rookie,MIA
Mike Ojala,22,1,0,1.000,0.00,2,0,1,0,0,0,3.0,0,0,0,0,1,0,2,0,0,0,11,0.333,0.0,0.0,3.0,6.0,2.00,0,2010,Rookie,MIA
Scott Rembisz,21,2,0,1.000,1.96,12,6,3,0,0,0,41.1,39,14,9,1,5,0,43,3,0,4,173,1.065,8.5,0.2,1.1,9.4,8.60,0,2010,Rookie,MIA
Zach Robertson*,21,0,1,.000,3.18,8,1,2,0,0,1,11.1,12,5,4,0,7,0,9,1,0,1,52,1.676,9.5,0.0,5.6,7.1,1.29,0,2010,Rookie,MIA
Jose Rodriguez,19,2,2,.500,2.50,8,8,0,0,0,0,39.2,28,11,11,0,10,0,31,5,0,2,157,0.958,6.4,0.0,2.3,7.0,3.10,0,2010,Rookie,MIA
Jared Rogers,22,6,1,.857,1.21,12,5,3,2,2,1,44.2,32,6,6,0,2,0,38,1,0,1,162,0.761,6.4,0.0,0.4,7.7,19.00,0,2010,Rookie,MIA
Jose Rosario,24,0,0,,1.80,2,1,1,0,0,1,5.0,3,1,1,1,0,0,5,0,0,0,17,0.600,5.4,1.8,0.0,9.0,,0,2010,Rookie,MIA
Chris Shafer,21,0,0,,1.80,4,0,1,0,0,1,5.0,3,1,1,0,2,0,4,0,0,0,19,1.000,5.4,0.0,3.6,7.2,2.00,0,2010,Rookie,MIA
Aneurys Solano,21,1,2,.333,5.14,9,0,2,0,0,0,14.0,13,9,8,0,10,0,7,2,0,1,63,1.643,8.4,0.0,6.4,4.5,0.70,0,2010,Rookie,MIA
Chris Squires,22,1,1,.500,0.00,5,0,2,0,0,0,5.2,4,2,0,0,2,0,5,3,0,1,27,1.059,6.4,0.0,3.2,7.9,2.50,0,2010,Rookie,MIA
Steven Stein,21,2,1,.667,2.53,16,0,8,0,0,3,21.1,17,7,6,0,13,0,21,1,0,3,92,1.406,7.2,0.0,5.5,8.9,1.62,0,2010,Rookie,MIA
Brad Stone,26,1,0,1.000,2.57,3,2,0,0,0,0,7.0,7,3,2,0,4,0,5,0,0,1,34,1.571,9.0,0.0,5.1,6.4,1.25,0,2010,Rookie,MIA
Ryan Tucker,23,1,0,1.000,0.00,2,1,0,0,0,0,4.0,5,0,0,0,0,0,7,0,0,0,16,1.250,11.3,0.0,0.0,15.8,,1,2010,Rookie,MIA
Nic Ungs,30,0,1,.000,0.00,2,0,1,0,0,0,5.0,3,2,0,0,0,0,3,0,0,0,18,0.600,5.4,0.0,0.0,5.4,,0,2010,Rookie,MIA
Rett Varner,22,0,0,,0.00,2,0,0,0,0,0,4.0,1,0,0,0,2,0,4,0,0,0,16,0.750,2.3,0.0,4.5,9.0,2.00,0,2010,Rookie,MIA
Jeremy Weber,20,1,0,1.000,2.35,6,0,3,0,0,0,7.2,6,2,2,0,5,0,6,0,0,1,33,1.435,7.0,0.0,5.9,7.0,1.20,0,2010,Rookie,MIA
