Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Darrin Fletcher*,32,115,448,412,48,120,26,0,18,80,0,0,26,47,.291,.339,.485,.825,200,16,6,0,4,0,1,1999,MLB,TOR
Carlos Delgado*,27,152,681,573,113,156,39,0,44,134,1,1,86,141,.272,.377,.571,.948,327,11,15,0,7,7,1,1999,MLB,TOR
Homer Bush,26,128,523,485,69,155,26,4,5,55,32,8,21,82,.320,.353,.421,.774,204,9,6,8,3,0,1,1999,MLB,TOR
Tony Batista,25,98,409,375,61,107,25,1,26,79,2,0,22,79,.285,.328,.565,.893,212,11,4,3,5,1,1,1999,MLB,TOR
Tony Fernandez#,37,142,576,485,73,159,41,0,6,75,6,7,77,62,.328,.427,.449,.877,218,10,10,0,4,11,1,1999,MLB,TOR
Shannon Stewart,25,145,682,608,102,185,28,2,11,67,37,14,59,83,.304,.371,.411,.782,250,12,8,3,4,0,1,1999,MLB,TOR
Jose Cruz#,25,106,414,349,63,84,19,3,14,45,14,4,64,91,.241,.358,.433,.791,151,6,0,1,0,5,1,1999,MLB,TOR
Shawn Green*,26,153,696,614,134,190,45,0,42,123,20,7,66,117,.309,.384,.588,.972,361,13,11,0,5,4,1,1999,MLB,TOR
Willie Greene*,27,81,248,226,22,46,7,0,12,41,0,0,20,56,.204,.266,.394,.660,89,4,0,0,2,0,1,1999,MLB,TOR
Jacob Brumfield,34,62,195,170,25,40,8,3,2,19,1,2,19,39,.235,.307,.353,.660,60,2,0,3,3,0,1,1999,MLB,TOR
Mike Matheny,28,57,179,163,16,35,6,0,3,17,0,0,12,37,.215,.271,.307,.578,50,3,1,2,1,0,1,1999,MLB,TOR
Alex Gonzalez,26,38,173,154,22,45,13,0,2,12,4,2,16,23,.292,.370,.416,.786,64,4,3,0,0,0,1,1999,MLB,TOR
Willis Otanez,26,42,137,127,21,32,8,0,5,13,0,0,9,30,.252,.307,.433,.740,55,3,1,0,0,0,1,1999,MLB,TOR
Craig Grebeck,34,34,135,113,18,41,7,0,0,10,0,0,15,13,.363,.443,.425,.868,48,2,2,3,1,0,1,1999,MLB,TOR
Pat Kelly,31,37,130,116,17,31,7,0,6,20,0,1,10,23,.267,.318,.483,.801,56,1,0,1,3,0,1,1999,MLB,TOR
David Segui#,32,31,104,95,14,30,5,0,5,13,0,0,8,17,.316,.365,.526,.892,50,1,0,0,1,0,1,1999,MLB,TOR
Dave Hollins#,33,27,104,99,12,22,5,0,2,6,0,0,5,22,.222,.260,.333,.593,33,2,0,0,0,0,1,1999,MLB,TOR
Brian McRae#,31,31,101,82,11,16,3,1,3,11,0,1,16,22,.195,.340,.366,.706,30,2,2,1,0,1,1,1999,MLB,TOR
Vernon Wells,20,24,92,88,8,23,5,0,1,8,1,1,4,18,.261,.293,.352,.646,31,6,0,0,0,0,1,1999,MLB,TOR
Geronimo Berroa,34,22,73,62,11,12,3,0,1,6,0,0,9,15,.194,.315,.290,.605,18,5,2,0,0,0,1,1999,MLB,TOR
Casey Blake,25,14,41,39,6,10,2,0,1,1,0,0,2,7,.256,.293,.385,.677,15,1,0,0,0,0,1,1999,MLB,TOR
Kevin Witt*,23,15,37,34,3,7,1,0,1,5,0,0,2,9,.206,.250,.324,.574,11,0,0,1,0,0,1,1999,MLB,TOR
Norberto Martin,32,9,33,27,3,6,2,0,0,0,0,0,4,4,.222,.364,.296,.660,8,2,2,0,0,0,1,1999,MLB,TOR
Pat Lennon,31,9,32,29,3,6,2,0,1,6,0,0,2,12,.207,.281,.379,.661,11,0,1,0,0,0,1,1999,MLB,TOR
Chris Woodward,23,14,29,26,1,6,1,0,0,2,0,0,2,6,.231,.276,.269,.545,7,1,0,0,1,0,1,1999,MLB,TOR
Mark Dalesandro,31,16,29,27,3,5,0,0,0,1,1,0,0,2,.185,.207,.185,.392,5,1,1,0,1,0,1,1999,MLB,TOR
Pat Borders,36,6,15,14,1,3,0,0,1,3,0,0,1,2,.214,.267,.429,.695,6,0,0,0,0,0,1,1999,MLB,TOR
Kevin Brown,26,2,9,9,1,4,2,0,0,1,0,0,0,3,.444,.444,.667,1.111,6,0,0,0,0,0,1,1999,MLB,TOR
Curtis Goodwin*,26,2,8,8,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,1,1999,MLB,TOR
Rob Butler*,29,8,8,7,1,1,0,0,0,1,0,0,0,0,.143,.250,.143,.393,1,0,1,0,0,0,1,1999,MLB,TOR
Anthony Sanders,25,3,7,7,1,2,1,0,0,2,0,0,0,2,.286,.286,.429,.714,3,1,0,0,0,0,1,1999,MLB,TOR
