Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Brian Arntzen,28,5,13,13,0,3,0,0,0,0,0,0,0,4,.231,.231,.231,.462,3,0,0,0,0,0,,0
Ed Bady#,25,5,16,13,0,2,0,0,0,0,0,0,3,5,.154,.313,.154,.466,2,0,0,0,0,0,,0
Allen Battle,29,132,541,454,72,138,31,2,11,68,34,5,71,81,.304,.403,.454,.856,206,13,8,2,6,3,,1
Jake Benz*,26,25,6,5,1,2,1,0,0,2,0,0,0,1,.400,.400,.600,1.000,3,0,0,1,0,0,,0
Geoff Blum#,25,8,27,23,1,4,0,0,0,1,0,0,3,6,.174,.269,.174,.443,4,0,0,1,0,0,,1
Hiram Bocachica,22,12,48,41,5,8,3,1,0,5,2,0,6,14,.195,.313,.317,.630,13,1,1,0,0,0,,1
Shawn Boskie,31,13,13,9,0,1,0,0,0,0,0,0,2,4,.111,.273,.111,.384,1,0,0,2,0,0,,1
Melvin Bunch,26,25,14,12,1,2,0,1,0,2,0,0,0,3,.167,.167,.333,.500,4,0,0,2,0,0,,1
Orlando Cabrera,23,66,307,272,31,63,9,4,0,26,19,9,28,27,.232,.298,.294,.592,80,8,0,2,5,0,,1
Raul Chavez,25,11,37,31,2,7,0,0,0,1,0,0,5,5,.226,.333,.226,.559,7,1,0,1,0,0,,1
Jason Cole,25,13,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,0
Trace Coquillette,24,74,281,252,30,64,14,0,7,40,3,3,17,38,.254,.315,.393,.708,99,9,7,2,3,1,,1
Rick DeHart*,28,38,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
John DeSilva,30,7,3,2,0,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,0,0,0,0,0,0,,1
Steve Falteisek,26,35,24,21,1,4,0,0,0,1,0,0,1,7,.190,.227,.190,.418,4,0,0,2,0,0,,1
Jose Fernandez,23,21,67,60,8,16,4,1,0,4,3,1,5,14,.267,.318,.367,.685,22,2,0,1,1,0,,1
Bob Henley,25,37,142,126,13,31,6,1,4,20,1,1,12,34,.246,.312,.405,.717,51,3,1,1,2,0,,1
Ray Holbert,27,86,299,266,38,82,17,4,2,25,10,5,29,66,.308,.376,.425,.801,113,2,0,4,0,3,,1
Mike Hubbard,27,20,74,70,9,16,5,0,0,8,0,0,3,13,.229,.257,.300,.557,21,3,0,0,1,0,,1
Mike Johnson*,22,18,22,19,2,3,0,0,0,1,0,0,1,4,.158,.190,.158,.348,3,0,0,1,1,0,,1
Terry Jones#,27,81,320,278,36,66,3,4,0,21,35,6,32,48,.237,.314,.277,.591,77,8,0,8,2,1,,1
Ted Lilly*,22,7,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
Joey Long,27,34,3,3,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
Rob Lukachyk*,29,73,253,222,34,52,13,2,5,25,13,0,22,52,.234,.323,.378,.701,84,2,7,2,0,0,,1
Derrick May*,29,21,83,69,16,26,6,0,6,21,0,1,13,7,.377,.482,.725,1.207,50,0,1,0,0,0,,1
Tom McGraw*,30,32,7,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,1,0,0,2,0,0,,1
Trey Moore*,25,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
Mike Mordecai,30,6,25,22,2,5,2,0,0,1,0,0,3,3,.227,.320,.318,.638,7,1,0,0,0,0,,1
Ramon Morel,23,12,6,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,1,0,0,,1
Nick Ortiz,24,12,39,32,1,3,1,0,0,0,0,0,6,10,.094,.237,.125,.362,4,0,0,1,0,0,,0
John Pachot,23,100,368,344,33,78,18,1,2,39,2,2,15,45,.227,.263,.302,.565,104,13,3,3,3,1,,0
Carl Pavano,22,3,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,1
Dave Post,24,93,365,330,59,99,23,2,6,35,7,7,28,50,.300,.365,.436,.802,144,5,6,1,0,1,,0
Steve Rodriguez,27,75,256,232,24,65,11,1,1,28,6,7,15,34,.280,.331,.349,.680,81,5,3,5,1,1,,1
Scott Samuels*,27,43,115,94,15,22,4,2,2,15,4,3,19,24,.234,.360,.383,.743,36,2,0,1,1,1,,0
F.P. Santangelo#,30,2,9,8,1,2,0,0,0,1,0,0,0,3,.250,.333,.250,.583,2,0,1,0,0,0,,1
Chris Saunders,27,131,536,478,58,131,26,2,9,58,1,1,46,98,.274,.343,.393,.737,188,10,7,0,5,1,,0
Tate Seefried*,26,38,132,114,10,21,3,0,3,12,0,1,17,37,.184,.288,.289,.577,33,4,0,0,1,0,,0
Fernando Seguignol#,23,32,124,109,16,28,8,0,6,16,0,0,12,43,.257,.333,.495,.829,54,1,1,1,1,0,,1
J.D. Smart,24,6,7,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,,1
DaRond Stovall#,25,44,173,150,15,34,7,1,8,22,6,2,21,51,.227,.320,.447,.766,67,6,0,1,1,1,,1
Mike Thurman,24,19,14,11,0,0,0,0,0,0,0,0,2,3,.000,.154,.000,.154,0,0,0,1,0,0,,1
