Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Mike Foltynewicz,26,13,10,.565,2.85,31,31,0,2,1,0,183.0,130,65,58,17,68,3,202,6,2,7,744,1.082,6.4,0.8,3.3,9.9,2.97,1,2018,MLB,ATL
Julio Teheran,27,9,9,.500,3.94,31,31,0,0,0,0,175.2,122,80,77,26,84,3,162,9,3,2,724,1.173,6.3,1.3,4.3,8.3,1.93,1,2018,MLB,ATL
Sean Newcomb*,25,12,9,.571,3.90,31,30,0,0,0,0,164.0,137,74,71,18,81,1,160,1,0,4,696,1.329,7.5,1.0,4.4,8.8,1.98,1,2018,MLB,ATL
Anibal Sanchez,34,7,6,.538,2.83,25,24,0,0,0,0,136.2,106,48,43,15,42,0,135,4,0,4,553,1.083,7.0,1.0,2.8,8.9,3.21,1,2018,MLB,ATL
Brandon McCarthy,34,6,3,.667,4.92,15,15,0,0,0,0,78.2,94,45,43,15,21,0,65,0,0,2,339,1.462,10.8,1.7,2.4,7.4,3.10,1,2018,MLB,ATL
Arodys Vizcaino,27,2,2,.500,2.11,39,0,31,0,0,16,38.1,30,9,9,4,15,1,40,2,0,4,158,1.174,7.0,0.9,3.5,9.4,2.67,1,2018,MLB,ATL
Jesse Biddle*,26,6,1,.857,3.11,60,0,14,0,0,1,63.2,50,26,22,6,31,5,67,3,0,2,266,1.272,7.1,0.8,4.4,9.5,2.16,1,2018,MLB,ATL
A.J. Minter*,24,4,3,.571,3.23,65,0,31,0,0,15,61.1,57,23,22,3,22,1,69,2,0,5,260,1.288,8.4,0.4,3.2,10.1,3.14,1,2018,MLB,ATL
Dan Winkler,28,4,0,1.000,3.43,69,0,11,0,0,2,60.1,52,27,23,3,20,1,69,5,0,2,255,1.193,7.8,0.4,3.0,10.3,3.45,1,2018,MLB,ATL
Sam Freeman*,31,3,5,.375,4.29,63,0,4,0,0,0,50.1,41,26,24,3,32,2,58,2,0,4,216,1.450,7.3,0.5,5.7,10.4,1.81,1,2018,MLB,ATL
Shane Carle,26,4,1,.800,2.86,53,0,8,0,0,1,63.0,50,22,20,2,27,7,43,1,0,2,259,1.222,7.1,0.3,3.9,6.1,1.59,1,2018,MLB,ATL
Kevin Gausman,27,5,3,.625,2.87,10,10,0,0,0,0,59.2,50,23,19,5,18,1,44,2,0,0,242,1.140,7.5,0.8,2.7,6.6,2.44,1,2018,MLB,ATL
Luke Jackson,26,1,2,.333,4.43,35,0,11,0,0,1,40.2,41,22,20,3,21,3,46,2,1,6,184,1.525,9.1,0.7,4.6,10.2,2.19,1,2018,MLB,ATL
Max Fried*,24,1,4,.200,2.94,14,5,5,0,0,0,33.2,26,12,11,3,20,0,44,2,0,2,142,1.366,7.0,0.8,5.3,11.8,2.20,1,2018,MLB,ATL
Touki Toussaint,22,2,1,.667,4.03,7,5,1,0,0,0,29.0,18,13,13,1,21,1,32,2,0,1,123,1.345,5.6,0.3,6.5,9.9,1.52,1,2018,MLB,ATL
Peter Moylan,39,0,1,.000,4.45,39,0,6,0,0,0,28.1,32,14,14,4,18,3,23,2,0,3,129,1.765,10.2,1.3,5.7,7.3,1.28,1,2018,MLB,ATL
Matt Wisler,25,1,1,.500,5.40,7,3,1,0,0,0,26.2,30,16,16,6,5,0,21,0,0,1,112,1.313,10.1,2.0,1.7,7.1,4.20,1,2018,MLB,ATL
Mike Soroka,20,2,1,.667,3.51,5,5,0,0,0,0,25.2,30,14,10,1,7,0,21,0,0,2,113,1.442,10.5,0.4,2.5,7.4,3.00,1,2018,MLB,ATL
Brad Brach,32,1,2,.333,1.52,27,0,8,0,0,1,23.2,22,8,4,1,9,1,22,1,1,2,104,1.310,8.4,0.4,3.4,8.4,2.44,1,2018,MLB,ATL
Jonny Venters*,33,4,1,.800,3.54,28,0,4,0,0,2,20.1,15,9,8,0,10,2,16,1,0,3,87,1.230,6.6,0.0,4.4,7.1,1.60,1,2018,MLB,ATL
Luiz Gohara*,21,0,1,.000,5.95,9,1,3,0,0,1,19.2,16,13,13,3,8,0,18,0,0,0,82,1.220,7.3,1.4,3.7,8.2,2.25,1,2018,MLB,ATL
Chad Sobotka,24,1,0,1.000,1.88,14,0,5,0,0,0,14.1,5,3,3,2,9,2,21,0,0,3,58,0.977,3.1,1.3,5.7,13.2,2.33,1,2018,MLB,ATL
Lucas Sims,24,0,0,,7.84,6,0,2,0,0,0,10.1,12,9,9,2,8,1,10,1,0,0,52,1.935,10.5,1.7,7.0,8.7,1.25,1,2018,MLB,ATL
Kolby Allard*,20,1,1,.500,12.38,3,1,0,0,0,0,8.0,19,12,11,3,4,0,3,1,1,0,47,2.875,21.4,3.4,4.5,3.4,0.75,1,2018,MLB,ATL
Bryse Wilson,20,1,0,1.000,6.43,3,1,2,0,0,0,7.0,8,5,5,0,6,2,6,0,0,0,33,2.000,10.3,0.0,7.7,7.7,1.00,1,2018,MLB,ATL
Jose Ramirez,28,0,2,.000,17.05,7,0,1,0,0,0,6.1,9,12,12,0,8,2,7,2,0,0,38,2.684,12.8,0.0,11.4,9.9,0.88,1,2018,MLB,ATL
Evan Phillips,23,0,0,,8.53,4,0,4,0,0,0,6.1,6,6,6,3,4,0,3,0,0,0,29,1.579,8.5,4.3,5.7,4.3,0.75,1,2018,MLB,ATL
Kyle Wright,22,0,0,,4.50,4,0,1,0,0,0,6.0,4,3,3,2,6,0,5,0,0,0,28,1.667,6.0,3.0,9.0,7.5,0.83,1,2018,MLB,ATL
Miguel Socolovich,31,0,1,.000,10.80,4,0,3,0,0,0,5.0,8,6,6,0,2,0,4,0,0,0,25,2.000,14.4,0.0,3.6,7.2,2.00,1,2018,MLB,ATL
Wes Parsons,25,0,1,.000,7.20,1,0,0,0,0,0,5.0,6,4,4,1,3,1,3,0,0,0,23,1.800,10.8,1.8,5.4,5.4,1.00,1,2018,MLB,ATL
Josh Ravin,30,0,1,.000,6.00,2,0,2,0,0,0,3.0,2,2,2,0,2,0,1,1,0,0,14,1.333,6.0,0.0,6.0,3.0,0.50,1,2018,MLB,ATL
Adam McCreery*,25,0,0,,18.00,1,0,1,0,0,0,1.0,4,2,2,0,0,0,2,0,0,0,7,4.000,36.0,0.0,0.0,18.0,,1,2018,MLB,ATL
Charlie Culberson,29,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,0,0,0,0,0,0,0,5,2.000,18.0,0.0,0.0,0.0,,1,2018,MLB,ATL
Chase Whitley,29,0,0,,18.00,1,0,0,0,0,0,1.0,2,2,2,1,1,0,1,0,0,0,6,3.000,18.0,9.0,9.0,9.0,1.00,1,2018,MLB,ATL
Rex Brothers*,30,0,0,,inf,1,0,0,0,0,0,0.0,0,1,1,0,2,0,0,0,0,0,2,,,,,,0.00,1,2018,MLB,ATL
