Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,German Marquez,22,11,7,.611,4.39,29,29,0,0,0,0,162.0,174,82,79,25,49,3,147,8,0,6,701,115,4.40,1.377,9.7,1.4,2.7,8.2,3.00,1
SP,Kyle Freeland*,24,11,11,.500,4.10,33,28,0,0,0,0,156.0,169,78,71,17,63,4,107,8,2,1,688,123,4.57,1.487,9.8,1.0,3.6,6.2,1.70,1
SP,Tyler Chatwood,27,8,15,.348,4.69,33,25,3,1,1,1,147.2,136,79,77,20,77,2,120,4,2,12,631,108,4.94,1.442,8.3,1.2,4.7,7.3,1.56,1
SP,Antonio Senzatela,22,10,5,.667,4.68,36,20,3,0,0,0,134.2,128,72,70,18,47,1,102,4,2,1,564,108,4.52,1.300,8.6,1.2,3.1,6.8,2.17,1
SP,Jon Gray,25,10,4,.714,3.67,20,20,0,0,0,0,110.1,113,47,45,10,30,0,112,2,1,3,461,138,3.18,1.296,9.2,0.8,2.4,9.1,3.73,1
SP,Jeff Hoffman,24,6,5,.545,5.89,23,16,3,0,0,0,99.1,106,66,65,15,40,1,82,4,0,2,440,86,4.80,1.470,9.6,1.4,3.6,7.4,2.05,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Greg Holland,31,3,6,.333,3.61,61,0,58,0,0,41,57.1,40,24,23,7,26,1,70,1,0,7,235,140,3.72,1.151,6.3,1.1,4.1,11.0,2.69,1
RP,Scott Oberg,27,0,1,.000,4.94,66,0,12,0,0,0,58.1,70,35,32,4,24,2,55,2,0,3,265,103,3.50,1.611,10.8,0.6,3.7,8.5,2.29,1
RP,Jake McGee*,30,0,2,.000,3.61,62,0,13,0,0,3,57.1,47,23,23,4,16,0,58,1,0,5,229,140,2.93,1.099,7.4,0.6,2.5,9.1,3.63,1
RP,Adam Ottavino,31,2,3,.400,5.06,63,0,11,0,0,0,53.1,48,30,30,8,39,2,63,4,0,8,243,100,5.16,1.631,8.1,1.4,6.6,10.6,1.62,1
RP,Mike Dunn*,32,5,1,.833,4.47,68,0,10,0,0,0,50.1,43,25,25,8,28,0,57,0,0,4,220,113,4.63,1.411,7.7,1.4,5.0,10.2,2.04,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyler Anderson*,27,6,6,.500,4.81,17,15,1,0,0,0,86.0,88,48,46,16,26,0,81,2,2,6,362,105,4.67,1.326,9.2,1.7,2.7,8.5,3.12,1
,Chris Rusin*,30,5,1,.833,2.65,60,0,7,0,0,2,85.0,75,31,25,9,19,1,71,3,0,4,340,191,3.64,1.106,7.9,1.0,2.0,7.5,3.74,1
,Jordan Lyles,26,0,2,.000,6.94,33,0,12,0,0,0,46.2,61,37,36,11,12,1,33,4,0,2,211,73,5.84,1.564,11.8,2.1,2.3,6.4,2.75,1
,Chad Bettis,28,2,4,.333,5.05,9,9,0,0,0,0,46.1,52,27,26,8,11,0,30,1,0,3,200,100,4.88,1.360,10.1,1.6,2.1,5.8,2.73,1
,Carlos Estevez,24,5,0,1.000,5.57,35,0,9,0,0,0,32.1,39,21,20,3,14,2,31,1,1,1,149,91,3.84,1.639,10.9,0.8,3.9,8.6,2.21,1
,Pat Neshek,36,2,1,.667,2.45,28,0,2,0,0,0,22.0,20,8,6,1,1,0,24,0,0,0,87,208,1.70,0.955,8.2,0.4,0.4,9.8,24.00,1
,Chad Qualls,38,1,1,.500,5.40,19,0,9,0,0,0,16.2,17,11,10,3,5,0,11,0,0,0,72,95,5.08,1.320,9.2,1.6,2.7,5.9,2.20,1
,Zac Rosscup*,29,0,0,,5.14,9,0,2,0,0,0,7.0,9,4,4,2,0,0,10,0,0,0,30,102,4.02,1.286,11.6,2.6,0.0,12.9,,1
,Jairo Diaz,26,0,0,,9.00,4,0,3,0,0,0,5.0,12,6,5,0,5,0,2,1,0,0,30,59,5.96,3.400,21.6,0.0,9.0,3.6,0.40,1
,Shane Carle,25,0,0,,6.75,3,0,3,0,0,0,4.0,6,3,3,1,0,0,4,0,0,1,19,80,4.41,1.500,13.5,2.3,0.0,9.0,,1
,Team Totals,26.3,87,75,.537,4.51,162,162,161,1,1,47,1437.2,1453,757,721,190,532,20,1270,50,10,69,6177,112,4.32,1.381,9.1,1.2,3.3,8.0,2.39,1
,Rank in 15 NL teams,,5,11,,9,,,,11,7,3,12 ,10,8,8,8,8,,11,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
