Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Matt Wieters#,32,76,271,235,24,56,8,0,8,30,0,1,30,45,.238,.330,.374,.704,86,88,5,3,1,2,3,1
1B,Ryan Zimmerman,33,85,323,288,33,76,21,2,13,51,1,1,30,55,.264,.337,.486,.824,114,140,10,3,0,2,1,1
2B,Wilmer Difo#,26,148,456,408,55,94,14,7,7,42,10,3,39,82,.230,.298,.350,.649,71,143,8,2,3,4,5,1
SS,Trea Turner,25,162,740,664,103,180,27,6,19,73,43,9,69,132,.271,.344,.416,.760,100,276,7,5,2,0,3,1
3B,Anthony Rendon,28,136,597,529,88,163,44,2,24,92,2,1,55,82,.308,.374,.535,.909,137,283,5,5,0,8,5,1
LF,Juan Soto*,19,116,494,414,77,121,25,1,22,70,5,2,79,99,.292,.406,.517,.923,142,214,9,0,1,0,10,1
CF,Michael A. Taylor,27,134,385,353,46,80,22,3,6,28,24,6,29,116,.227,.287,.357,.644,69,126,9,1,2,0,2,1
RF,Bryce Harper*,25,159,695,550,103,137,34,0,34,100,13,3,130,169,.249,.393,.496,.889,133,273,7,6,0,9,16,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,Adam Eaton*,29,95,370,319,55,96,18,1,5,33,9,1,38,64,.301,.394,.411,.805,114,131,2,11,2,0,0,1
1B,Matt Adams*,29,94,277,249,37,64,9,0,18,48,0,0,24,55,.257,.332,.510,.842,118,127,6,4,0,0,2,1
1B,Mark Reynolds,34,86,235,206,26,51,8,0,13,40,0,0,24,64,.248,.328,.476,.803,109,98,8,2,0,3,1,1
C,Pedro Severino,24,70,213,190,14,32,9,0,2,15,1,0,18,47,.168,.254,.247,.501,34,47,3,4,0,1,4,1
2B,Daniel Murphy*,33,56,205,190,17,57,9,0,6,29,1,0,13,17,.300,.341,.442,.784,105,84,4,0,0,2,2,1
2B,Howie Kendrick,34,40,160,152,17,46,14,0,4,12,1,1,5,29,.303,.331,.474,.805,110,72,6,2,0,1,1,1
C,Spencer Kieboom,27,52,143,125,16,29,5,0,2,13,0,0,16,28,.232,.322,.320,.642,71,40,2,1,0,1,0,1
OF,Andrew Stevenson*,24,57,86,75,9,19,2,0,1,13,1,1,6,23,.253,.306,.320,.626,66,24,0,1,1,3,0,1
OF,Brian Goodwin*,27,48,79,65,9,13,1,0,3,12,3,1,10,26,.200,.321,.354,.674,78,23,0,2,1,1,0,1
OF,Victor Robles,21,21,66,59,8,17,3,1,3,10,3,2,4,12,.288,.348,.525,.874,127,31,2,2,0,1,0,1
OF,Moises Sierra,29,27,60,54,4,9,2,0,0,4,1,1,2,20,.167,.217,.204,.420,12,11,2,2,0,2,0,1
IF,Adrian Sanchez,27,28,59,58,8,16,2,1,0,3,0,0,1,8,.276,.288,.345,.633,67,20,0,0,0,0,0,1
3B,Matt Reynolds,27,12,14,13,1,2,0,0,0,1,0,0,1,4,.154,.214,.154,.368,0,2,0,0,0,0,0,1
C,Miguel Montero*,34,4,13,11,0,0,0,0,0,0,0,0,2,3,.000,.154,.000,.154,-54,0,0,0,0,0,1,1
OF,Rafael Bautista,25,9,6,6,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Max Scherzer,33,32,78,70,8,17,2,0,0,6,1,0,1,14,.243,.274,.271,.545,45,19,1,2,5,0,0,1
P,Tanner Roark,31,29,65,58,6,11,2,1,0,8,0,0,1,19,.190,.217,.259,.475,25,15,1,1,5,0,0,1
P,Stephen Strasburg,29,22,51,41,0,5,0,0,0,1,0,0,2,12,.122,.163,.122,.285,-23,5,3,0,8,0,0,1
P,Gio Gonzalez,32,24,47,44,1,3,1,0,0,0,0,0,0,27,.068,.068,.091,.159,-58,4,0,0,3,0,0,1
P,Jeremy Hellickson,31,18,35,32,0,2,1,0,0,1,0,0,0,13,.063,.063,.094,.156,-59,3,0,0,3,0,0,1
P,Jefry Rodriguez,24,14,18,16,2,3,1,0,0,1,0,0,0,8,.188,.188,.250,.438,14,4,0,0,2,0,0,1
P,Erick Fedde,25,10,17,16,1,1,0,0,0,0,0,0,1,5,.063,.118,.063,.180,-50,1,1,0,0,0,0,1
P,Tommy Milone*,31,5,9,7,0,0,0,0,0,0,0,0,1,3,.000,.125,.000,.125,-63,0,0,0,1,0,0,1
P,Joe Ross,25,3,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
P,A.J. Cole,26,4,4,3,1,1,0,0,1,1,0,0,0,1,.333,.333,1.333,1.667,311,4,0,0,1,0,0,1
P,Wander Suero,26,38,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
