Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Scott Hatteberg*,31,94,316,278,34,68,19,0,3,25,1,1,33,26,.245,.332,.345,.678,79,96,7,4,0,1,0,1
1B,Brian Daubach*,29,122,472,407,54,107,28,3,22,71,1,0,53,108,.263,.350,.509,.859,122,207,10,5,1,6,7,1
2B,Jose Offerman#,32,128,594,524,76,140,23,3,9,49,5,2,61,97,.267,.342,.374,.716,89,196,9,1,3,5,2,1
SS,Mike Lansing,33,106,382,352,45,88,23,0,8,34,3,3,22,50,.250,.294,.384,.677,77,135,7,1,4,3,1,1
3B,Shea Hillenbrand,25,139,493,468,52,123,20,2,12,49,3,4,13,61,.263,.291,.391,.682,77,183,12,7,1,4,3,1
LF,Troy O'Leary*,31,104,376,341,50,82,16,6,13,50,1,3,25,73,.240,.298,.437,.735,90,149,9,5,0,5,2,1
CF,Carl Everett#,30,102,449,409,61,105,24,4,14,58,9,2,27,104,.257,.323,.438,.761,98,179,3,13,0,0,3,1
RF,Trot Nixon*,27,148,633,535,100,150,31,4,27,88,7,4,79,113,.280,.376,.505,.881,129,270,8,7,6,6,1,1
DH,Manny Ramirez,29,142,620,529,93,162,33,2,41,125,0,1,81,147,.306,.405,.609,1.014,162,322,9,8,0,2,25,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DH,Dante Bichette,37,107,415,391,45,112,30,1,12,49,2,2,20,76,.286,.325,.460,.786,104,180,13,3,0,1,1,1
IF,Chris Stynes,28,96,386,361,52,101,19,2,8,33,4,5,20,56,.280,.322,.410,.732,91,148,12,3,1,1,0,1
C,Jason Varitek#,29,51,198,174,19,51,11,1,7,25,0,0,21,35,.293,.371,.489,.859,124,85,6,1,1,1,3,1
OF,Darren Lewis,33,82,180,164,18,46,9,1,1,12,5,5,8,25,.280,.326,.366,.692,82,60,2,3,5,0,0,1
C,Doug Mirabelli,30,54,165,141,16,38,8,0,9,26,0,0,17,36,.270,.360,.518,.877,127,73,2,4,1,2,2,1
SS,Lou Merloni,30,52,159,146,21,39,10,0,3,13,2,1,6,31,.267,.306,.397,.703,83,58,6,3,2,2,0,1
SS,Nomar Garciaparra,27,21,91,83,13,24,3,0,4,8,0,1,7,9,.289,.352,.470,.822,114,39,1,1,0,0,0,1
SS,John Valentin,34,20,70,60,8,12,2,0,1,5,0,0,9,8,.200,.314,.283,.598,59,17,4,1,0,0,0,1
1B,Calvin Pickering*,24,17,58,50,4,14,1,0,3,7,0,0,8,13,.280,.379,.480,.859,124,24,4,0,0,0,0,1
SS,Craig Grebeck,36,23,43,41,1,2,1,0,0,2,0,0,2,9,.049,.093,.073,.166,-55,3,0,0,0,0,0,1
UT,Israel Alcantara,28,14,41,38,3,10,1,0,0,3,1,0,3,13,.263,.317,.289,.607,62,11,3,0,0,0,0,1
DH,Morgan Burkhart#,29,11,34,33,3,6,1,0,1,4,0,0,1,11,.182,.206,.303,.509,32,10,1,0,0,0,0,1
SS,James Lofton#,27,8,28,26,1,5,1,0,0,1,2,1,1,4,.192,.214,.231,.445,17,6,1,0,0,1,0,1
2B,Angel Santos#,21,9,19,16,2,2,1,0,0,1,0,0,2,7,.125,.211,.188,.398,6,3,2,0,0,1,0,1
C,Joe Oliver,35,5,13,12,1,3,1,0,0,1,0,0,1,3,.250,.308,.333,.641,69,4,0,0,0,0,0,1
C,Marcus Jensen#,28,1,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,33,1,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Hideo Nomo,32,2,5,5,0,1,0,0,0,0,0,0,0,3,.200,.200,.200,.400,6,1,0,0,0,0,0,1
P,Tim Wakefield,34,2,4,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,77,1,0,0,1,0,0,1
P,Rolando Arrojo,35,3,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Frank Castillo,32,1,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Tomo Ohka#,25,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,David Cone*,38,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Rich Garces,30,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
P,Rod Beck,32,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Derek Lowe,28,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Allen McDill*,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Paxton Crawford,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Todd Erdos,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Carlos Castillo,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Bret Saberhagen,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Pedro Martinez,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Casey Fossum*,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Hipolito Pichardo,31,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Bill Pulsipher*,27,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Bryce Florie,31,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Sun-Woo Kim,23,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Pete Schourek*,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Ugueth Urbina,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Willie Banks,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,30.0,161,6264,5605,772,1493,316,29,198,739,46,35,520,1131,.266,.334,.439,.773,101,2461,132,70,28,41,50,1
