Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Jason Schmidt,31,18,7,.720,3.20,32,32,0,4,3,0,225.0,165,84,80,18,77,3,251,3,1,7,907,1.076,6.6,0.7,3.1,10.0,3.26,1
Brett Tomko,31,11,7,.611,4.04,32,31,1,2,1,0,194.0,196,98,87,19,64,3,108,0,0,10,825,1.340,9.1,0.9,3.0,5.0,1.69,1
Kirk Rueter*,33,9,12,.429,4.73,33,33,0,0,0,0,190.1,225,108,100,21,66,5,56,1,0,1,840,1.529,10.6,1.0,3.1,2.6,0.85,1
Jerome Williams,22,10,7,.588,4.24,22,22,0,0,0,0,129.1,123,69,61,14,44,1,80,17,1,2,559,1.291,8.6,1.0,3.1,5.6,1.82,1
Noah Lowry*,23,6,0,1.000,3.82,16,14,0,2,1,0,92.0,91,41,39,10,28,1,72,0,0,2,383,1.293,8.9,1.0,2.7,7.0,2.57,1
Matt Herges,34,4,5,.444,5.23,70,0,43,0,0,23,65.1,90,44,38,8,21,4,39,3,0,2,301,1.699,12.4,1.1,2.9,5.4,1.86,1
Jim Brower,31,7,7,.500,3.29,89,0,21,0,0,1,93.0,90,42,34,6,36,2,63,4,0,10,401,1.355,8.7,0.6,3.5,6.1,1.75,1
Scott Eyre*,32,2,2,.500,4.10,83,0,12,0,0,1,52.2,43,26,24,8,27,3,49,0,0,3,229,1.329,7.3,1.4,4.6,8.4,1.81,1
Felix Rodriguez,31,3,5,.375,3.43,53,0,8,0,0,0,44.2,43,18,17,7,19,2,31,4,0,4,199,1.388,8.7,1.4,3.8,6.2,1.63,1
Jason Christiansen*,34,4,3,.571,4.50,60,0,11,0,0,3,36.0,34,20,18,3,26,1,22,3,0,3,167,1.667,8.5,0.8,6.5,5.5,0.85,1
Dustin Hermanson,31,6,9,.400,4.53,47,18,26,0,0,17,131.0,132,71,66,15,46,5,102,3,0,4,565,1.359,9.1,1.0,3.2,7.0,2.22,1
Tyler Walker,28,5,1,.833,4.24,52,0,13,0,0,1,63.2,69,31,30,8,24,1,48,1,0,1,275,1.461,9.8,1.1,3.4,6.8,2.00,1
Wayne Franklin*,30,2,1,.667,6.39,43,2,8,0,0,0,50.2,55,37,36,11,22,2,40,3,0,0,227,1.520,9.8,2.0,3.9,7.1,1.82,1
Brad Hennessey,24,2,2,.500,4.98,7,7,0,0,0,0,34.1,42,24,19,2,15,1,25,0,0,1,163,1.660,11.0,0.5,3.9,6.6,1.67,1
Kevin Correia,23,0,1,.000,8.05,12,1,5,0,0,0,19.0,25,20,17,3,10,0,14,1,0,0,92,1.842,11.8,1.4,4.7,6.6,1.40,1
Brian Cooper,29,0,2,.000,8.78,5,2,0,0,0,0,13.1,15,13,13,4,5,1,7,1,0,1,61,1.500,10.1,2.7,3.4,4.7,1.40,1
David Aardsma,22,1,0,1.000,6.75,11,0,5,0,0,0,10.2,20,8,8,1,10,0,5,2,0,0,61,2.813,16.9,0.8,8.4,4.2,0.50,1
Dave Burba,37,1,0,1.000,5.68,6,0,1,0,0,0,6.1,7,4,4,1,2,0,3,0,0,1,27,1.421,9.9,1.4,2.8,4.3,1.50,1
Kevin Walker*,27,0,0,,16.20,5,0,0,0,0,0,1.2,3,3,3,1,2,0,1,1,0,0,10,3.000,16.2,5.4,10.8,5.4,0.50,1
Merkin Valdez,22,0,0,,27.00,2,0,0,0,0,0,1.2,4,5,5,1,3,0,2,0,0,0,12,4.200,21.6,5.4,16.2,10.8,0.67,1
Leo Estrella,29,0,0,,27.00,2,0,0,0,0,0,1.1,8,4,4,0,1,0,0,0,0,0,13,6.750,54.0,0.0,6.8,0.0,0.00,1
Jesse Foppert,23,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,0,0,0,4,1.000,9.0,0.0,0.0,18.0,,1
