Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Roy Oswalt,26,20,10,.667,3.49,36,35,0,2,2,0,237.0,233,100,92,17,62,5,206,11,1,5,983,1.245,8.8,0.6,2.4,7.8,3.32,1
Roger Clemens,41,18,4,.818,2.98,33,33,0,0,0,0,214.1,169,76,71,15,79,5,218,6,0,5,878,1.157,7.1,0.6,3.3,9.2,2.76,1
Tim Redding,26,5,7,.417,5.72,27,17,2,0,0,0,100.2,125,73,64,15,43,3,56,5,0,2,465,1.669,11.2,1.3,3.8,5.0,1.30,1
Peter Munro,29,4,7,.364,5.15,21,19,1,0,0,0,99.2,120,59,57,12,26,2,63,10,0,2,446,1.465,10.8,1.1,2.3,5.7,2.42,1
Wade Miller,27,7,7,.500,3.35,15,15,0,0,0,0,88.2,76,35,33,11,44,0,74,0,0,1,383,1.353,7.7,1.1,4.5,7.5,1.68,1
Andy Pettitte*,32,6,4,.600,3.90,15,15,0,0,0,0,83.0,71,37,36,8,31,2,79,0,0,4,346,1.229,7.7,0.9,3.4,8.6,2.55,1
Brad Lidge,27,6,5,.545,1.90,80,0,44,0,0,29,94.2,57,21,20,8,30,5,157,6,1,3,369,0.919,5.4,0.8,2.9,14.9,5.23,1
Dan Miceli,33,6,6,.500,3.59,74,0,15,0,0,2,77.2,74,34,31,10,27,12,83,2,0,4,336,1.300,8.6,1.2,3.1,9.6,3.07,1
Brandon Backe,26,5,3,.625,4.30,33,9,8,0,0,0,67.0,75,33,32,10,27,4,54,1,0,1,293,1.522,10.1,1.3,3.6,7.3,2.00,1
Chad Harville,27,3,2,.600,4.75,56,0,14,0,0,0,53.0,54,35,28,8,26,2,46,2,0,5,238,1.509,9.2,1.4,4.4,7.8,1.77,1
Mike Gallo*,27,2,0,1.000,4.74,69,0,5,0,0,0,49.1,55,27,26,12,20,7,34,6,0,3,223,1.520,10.0,2.2,3.6,6.2,1.70,1
Carlos Hernandez*,24,1,3,.250,6.43,9,9,0,0,0,0,42.0,50,31,30,11,23,0,26,5,0,1,200,1.738,10.7,2.4,4.9,5.6,1.13,1
Brandon Duckworth,28,1,2,.333,6.86,19,6,6,0,0,0,39.1,55,30,30,11,13,3,23,0,0,3,180,1.729,12.6,2.5,3.0,5.3,1.77,1
Octavio Dotel,30,0,4,.000,3.12,32,0,29,0,0,14,34.2,27,15,12,4,15,4,50,1,1,3,146,1.212,7.0,1.0,3.9,13.0,3.33,1
Chad Qualls,25,4,0,1.000,3.55,25,0,4,0,0,1,33.0,34,13,13,3,8,1,24,4,0,0,141,1.273,9.3,0.8,2.2,6.5,3.00,1
David Weathers,34,1,4,.200,4.78,26,0,9,0,0,0,32.0,31,20,17,5,13,1,26,3,0,0,137,1.375,8.7,1.4,3.7,7.3,2.00,1
Kirk Bullinger,34,1,0,1.000,6.16,27,0,7,0,0,1,30.2,36,22,21,5,10,2,11,1,0,0,140,1.500,10.6,1.5,2.9,3.2,1.10,1
Ricky Stone,29,1,1,.500,5.68,16,0,7,0,0,0,19.0,26,12,12,5,7,3,16,3,0,1,92,1.737,12.3,2.4,3.3,7.6,2.29,1
Dan Wheeler,26,0,0,,2.51,14,0,4,0,0,0,14.1,11,4,4,1,3,0,9,1,0,0,55,0.977,6.9,0.6,1.9,5.7,3.00,1
Darren Oliver*,33,1,0,1.000,3.86,9,2,2,0,0,0,14.0,12,6,6,1,4,0,13,0,0,0,54,1.143,7.7,0.6,2.6,8.4,3.25,1
Russ Springer,35,0,1,.000,2.63,16,0,3,0,0,0,13.2,15,4,4,1,6,0,9,1,0,2,62,1.537,9.9,0.7,4.0,5.9,1.50,1
Jeremy Griffiths,26,0,0,,10.38,1,1,0,0,0,0,4.1,4,5,5,1,3,0,5,0,0,0,20,1.615,8.3,2.1,6.2,10.4,1.67,1
Jared Fernandez,32,0,0,,54.00,2,1,0,0,0,0,1.0,6,6,6,0,5,0,0,0,0,0,14,11.000,54.0,0.0,45.0,0.0,0.00,1
