Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Rod Barajas,30,97,371,344,49,88,20,0,11,41,0,0,17,51,.256,.298,.410,.708,80,141,9,4,5,1,0,1
1B,Mark Teixeira#,26,162,727,628,99,177,45,1,33,110,2,0,89,128,.282,.371,.514,.886,126,323,17,4,0,6,12,1
2B,Ian Kinsler,24,120,474,423,65,121,27,1,14,55,11,4,40,64,.286,.347,.454,.801,105,192,12,3,1,7,1,1
SS,Michael Young,29,162,748,691,93,217,52,3,14,103,7,3,48,96,.314,.356,.459,.814,108,317,27,1,0,8,0,1
3B,Hank Blalock*,25,152,646,591,76,157,26,3,16,89,1,0,51,98,.266,.325,.401,.726,86,237,15,2,0,2,6,1
LF,Brad Wilkerson*,29,95,365,320,56,71,15,2,15,44,3,2,37,116,.222,.306,.422,.728,86,135,6,3,2,3,1,1
CF,Gary Matthews#,31,147,690,620,102,194,44,6,19,79,10,7,58,99,.313,.371,.495,.866,121,307,8,4,0,8,5,1
RF,Mark DeRosa,31,136,572,520,78,154,40,2,13,74,4,4,44,102,.296,.357,.456,.812,108,237,13,6,0,2,1,1
DH,Phil Nevin,35,46,199,176,26,38,8,0,9,31,0,0,21,39,.216,.307,.415,.721,84,73,9,2,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,Kevin Mench,28,87,349,320,36,91,18,1,12,50,1,0,23,42,.284,.338,.459,.797,104,147,4,4,0,2,5,1
C,Gerald Laird,26,78,260,243,46,72,20,1,7,22,3,1,12,54,.296,.332,.473,.805,105,115,7,2,1,2,0,1
LF,Carlos Lee,30,59,260,236,42,76,19,1,9,35,7,0,20,26,.322,.369,.525,.895,128,124,9,0,0,4,2,1
RF,Nelson Cruz,25,41,138,130,15,29,3,0,6,22,1,0,7,32,.223,.261,.385,.645,64,50,1,0,0,1,0,1
LF,Jerry Hairston,30,63,100,88,17,18,3,1,0,6,2,2,9,20,.205,.286,.261,.547,43,23,4,1,2,0,0,1
DH,Matt Stairs*,38,26,88,81,6,17,4,0,3,11,0,0,6,22,.210,.273,.370,.643,64,30,1,1,0,0,1,1
2B,D'Angelo Jimenez#,28,20,68,57,7,12,3,0,1,8,0,0,10,6,.211,.328,.316,.644,68,18,2,0,1,0,0,1
DH,Jason Botts#,25,20,60,50,8,11,4,0,1,6,0,0,8,18,.220,.317,.360,.677,75,18,0,0,0,2,1,1
OF,Adrian Brown#,32,25,40,36,6,7,1,0,0,2,1,0,2,9,.194,.231,.222,.453,18,8,2,0,1,1,0,1
CF,Laynce Nix*,25,9,34,32,1,3,1,0,0,4,0,0,0,17,.094,.118,.125,.243,-37,4,0,1,0,1,0,1
UT,Drew Meyer*,24,5,15,14,1,3,0,0,0,0,0,0,0,8,.214,.214,.214,.429,11,3,0,0,1,0,0,1
C,Miguel Ojeda,31,5,14,13,0,4,2,0,0,4,0,0,0,3,.308,.308,.462,.769,95,6,0,0,0,0,0,1
IF,Joaquin Arias,21,6,12,11,4,6,1,0,0,1,0,1,1,0,.545,.583,.636,1.220,216,7,0,0,0,0,0,1
UT,Eric Young Sr.,39,4,12,10,1,2,1,1,0,2,0,0,1,1,.200,.273,.500,.773,94,5,1,0,1,0,0,1
