Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Gil Meche,28,9,13,.409,3.67,34,34,0,1,0,0,216.0,218,98,88,22,62,2,156,3,0,3,906,1.296,9.1,0.9,2.6,6.5,2.52,1,2007,MLB,KCR
Brian Bannister,26,12,9,.571,3.87,27,27,0,1,0,0,165.0,156,76,71,15,44,1,77,6,0,4,683,1.212,8.5,0.8,2.4,4.2,1.75,1,2007,MLB,KCR
Odalis Perez*,29,8,11,.421,5.57,26,26,0,0,0,0,137.1,178,90,85,14,50,5,64,4,0,3,626,1.660,11.7,0.9,3.3,4.2,1.28,1,2007,MLB,KCR
Jorge De La Rosa*,26,8,12,.400,5.82,26,23,1,0,0,0,130.0,160,88,84,20,53,6,82,3,1,4,589,1.638,11.1,1.4,3.7,5.7,1.55,1,2007,MLB,KCR
Kyle Davies,23,3,7,.300,6.66,11,11,0,0,0,0,50.0,63,41,37,10,26,1,40,3,0,7,239,1.780,11.3,1.8,4.7,7.2,1.54,1,2007,MLB,KCR
Joakim Soria,23,2,3,.400,2.48,62,0,38,0,0,17,69.0,46,20,19,3,19,3,75,1,0,2,270,0.942,6.0,0.4,2.5,9.8,3.95,1,2007,MLB,KCR
Zack Greinke,23,7,7,.500,3.69,52,14,7,0,0,1,122.0,122,52,50,12,36,5,106,3,1,3,507,1.295,9.0,0.9,2.7,7.8,2.94,1,2007,MLB,KCR
Joel Peralta,31,1,3,.250,3.80,62,0,18,0,0,1,87.2,93,39,37,9,19,5,66,2,0,2,366,1.278,9.5,0.9,2.0,6.8,3.47,1,2007,MLB,KCR
David Riske,30,1,4,.200,2.45,65,0,27,0,0,4,69.2,61,19,19,8,27,4,52,1,0,0,289,1.263,7.9,1.0,3.5,6.7,1.93,1,2007,MLB,KCR
Jimmy Gobble*,25,4,1,.800,3.02,74,0,12,0,0,1,53.2,56,23,18,6,23,6,50,2,1,6,233,1.472,9.4,1.0,3.9,8.4,2.17,1,2007,MLB,KCR
Brandon Duckworth,31,3,5,.375,4.63,26,3,6,0,0,1,46.2,51,30,24,3,23,2,21,1,0,7,211,1.586,9.8,0.6,4.4,4.1,0.91,1,2007,MLB,KCR
Juan Carlos Oviedo,25,2,4,.333,3.92,13,6,2,0,0,0,43.2,44,21,19,8,10,0,37,0,0,1,182,1.237,9.1,1.6,2.1,7.6,3.70,1,2007,MLB,KCR
John Bale*,33,1,1,.500,4.05,26,0,5,0,0,0,40.0,45,18,18,1,17,2,42,1,0,2,179,1.550,10.1,0.2,3.8,9.5,2.47,1,2007,MLB,KCR
Ryan Braun,26,2,0,1.000,6.64,26,0,10,0,0,0,39.1,46,32,29,4,22,1,24,0,0,3,183,1.729,10.5,0.9,5.0,5.5,1.09,1,2007,MLB,KCR
Scott Elarton,31,2,4,.333,10.46,9,9,0,0,0,0,37.0,53,44,43,12,21,0,13,3,0,2,185,2.000,12.9,2.9,5.1,3.2,0.62,1,2007,MLB,KCR
Billy Buckner,23,1,2,.333,5.29,7,5,1,0,0,0,34.0,37,20,20,5,16,0,17,0,0,0,143,1.559,9.8,1.3,4.2,4.5,1.06,1,2007,MLB,KCR
Neal Musser*,26,0,1,.000,4.38,17,0,3,0,0,0,24.2,32,13,12,5,14,3,19,0,0,2,116,1.865,11.7,1.8,5.1,6.9,1.36,1,2007,MLB,KCR
Octavio Dotel,33,2,1,.667,3.91,24,0,22,0,0,11,23.0,24,11,10,3,11,4,29,4,0,2,108,1.522,9.4,1.2,4.3,11.3,2.64,1,2007,MLB,KCR
Todd Wellemeyer,28,0,1,.000,10.34,12,0,5,0,0,0,15.2,25,19,18,4,11,2,9,1,0,2,84,2.298,14.4,2.3,6.3,5.2,0.82,1,2007,MLB,KCR
Luke Hochevar,23,0,1,.000,2.13,4,1,1,0,0,0,12.2,11,4,3,1,4,0,5,3,0,1,54,1.184,7.8,0.7,2.8,3.6,1.25,1,2007,MLB,KCR
John Thomson,33,1,1,.500,3.38,2,2,0,0,0,0,10.2,13,5,4,0,3,0,3,0,1,0,46,1.500,11.0,0.0,2.5,2.5,1.00,1,2007,MLB,KCR
Jason Standridge,28,0,1,.000,8.22,4,0,2,0,0,0,7.2,11,10,7,2,5,2,6,0,0,0,41,2.087,12.9,2.3,5.9,7.0,1.20,1,2007,MLB,KCR
Luke Hudson,30,0,1,.000,18.00,1,1,0,0,0,0,2.0,2,5,4,1,4,0,0,0,0,0,13,3.000,9.0,4.5,18.0,0.0,0.00,1,2007,MLB,KCR
