Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Gary Sanchez,24,122,525,471,79,131,20,0,33,90,2,1,40,120,.278,.345,.531,.876,250,9,10,0,4,1,1
Chris Carter,30,62,208,184,20,37,5,1,8,26,0,0,20,76,.201,.284,.370,.653,68,5,2,0,2,0,1
Starlin Castro,27,112,473,443,66,133,18,1,16,63,2,0,23,93,.300,.338,.454,.792,201,9,4,0,3,1,1
Didi Gregorius*,27,136,570,534,73,153,27,0,25,87,3,1,25,70,.287,.318,.478,.796,255,7,3,0,7,1,1
Chase Headley#,33,147,586,512,77,140,30,1,12,61,9,2,60,132,.273,.352,.406,.758,208,10,6,1,7,2,1
Brett Gardner*,33,151,682,594,96,157,26,4,21,63,23,5,72,122,.264,.350,.428,.778,254,4,8,5,3,2,1
Jacoby Ellsbury*,33,112,409,356,65,94,20,4,7,39,22,3,41,63,.264,.348,.402,.750,143,7,5,2,0,3,1
Aaron Judge,25,155,678,542,128,154,24,3,52,114,9,4,127,208,.284,.422,.627,1.049,340,15,5,0,4,11,1
Matt Holliday,37,105,427,373,50,86,18,0,19,64,1,0,46,114,.231,.316,.432,.748,161,14,3,0,5,0,1
Aaron Hicks#,27,88,361,301,54,80,18,0,15,52,10,5,51,67,.266,.372,.475,.847,143,8,3,1,5,0,1
Ronald Torreyes,24,108,336,315,35,92,15,1,3,36,2,0,11,43,.292,.314,.375,.689,118,9,1,5,4,0,1
Austin Romine,28,80,252,229,19,50,9,1,2,21,0,0,16,57,.218,.272,.293,.565,67,7,2,2,3,0,1
Todd Frazier,31,66,241,194,33,43,4,1,11,32,0,0,35,54,.222,.365,.423,.788,82,6,10,0,2,1,1
Greg Bird*,24,48,170,147,20,28,7,0,9,28,0,0,19,42,.190,.288,.422,.710,62,2,2,0,2,0,1
Clint Frazier,22,39,142,134,16,31,9,4,4,17,1,0,7,43,.231,.268,.448,.715,60,2,0,0,1,0,1
Tyler Wade*,22,30,63,58,7,9,4,0,0,2,1,1,5,19,.155,.222,.224,.446,13,2,0,0,0,0,1
Tyler Austin,25,20,46,40,4,9,2,0,2,8,0,0,4,17,.225,.283,.425,.708,17,1,0,0,2,0,1
Garrett Cooper,26,13,45,43,3,14,5,1,0,6,0,0,1,12,.326,.333,.488,.822,21,0,0,0,1,0,1
Rob Refsnyder,26,20,40,37,3,5,1,1,0,0,2,0,3,8,.135,.200,.216,.416,8,0,0,0,0,0,1
Kyle Higashioka,27,9,20,18,2,0,0,0,0,0,0,0,2,6,.000,.100,.000,.100,0,0,0,0,0,0,1
Ji-Man Choi*,26,6,18,15,2,4,1,0,2,5,0,0,2,5,.267,.333,.733,1.067,11,1,0,0,1,0,1
Mason Williams*,25,5,17,16,3,4,0,0,0,1,2,0,1,2,.250,.294,.250,.544,4,0,0,0,0,0,1
Pete Kozma,29,11,10,9,2,1,0,0,0,0,0,0,1,2,.111,.200,.111,.311,1,0,0,0,0,0,1
Miguel Andujar,22,5,8,7,0,4,2,0,0,4,1,0,1,0,.571,.625,.857,1.482,6,0,0,0,0,0,1
Erik Kratz,37,4,2,2,0,2,1,0,0,2,0,0,0,0,1.000,1.000,1.500,2.500,3,0,0,0,0,0,1
Dustin Fowler*,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1
