Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Justin Verlander,26,19,9,.679,3.45,35,35,0,3,1,0,240.0,219,99,92,20,63,5,269,6,4,8,982,1.175,8.2,0.8,2.4,10.1,4.27,1,2009,MLB,DET
Edwin Jackson,25,13,9,.591,3.62,33,33,0,1,0,0,214.0,200,93,86,27,70,3,161,5,0,6,890,1.262,8.4,1.1,2.9,6.8,2.30,1,2009,MLB,DET
Rick Porcello,20,14,9,.609,3.96,31,31,0,0,0,0,170.2,176,81,75,23,52,0,89,3,1,6,720,1.336,9.3,1.2,2.7,4.7,1.71,1,2009,MLB,DET
Armando Galarraga,27,6,10,.375,5.64,29,25,1,0,0,0,143.2,158,93,90,24,67,1,95,6,0,1,642,1.566,9.9,1.5,4.2,6.0,1.42,1,2009,MLB,DET
Fernando Rodney,32,2,5,.286,4.40,73,0,65,0,0,37,75.2,70,38,37,8,41,4,61,2,0,5,330,1.467,8.3,1.0,4.9,7.3,1.49,1,2009,MLB,DET
Zach Miner,27,7,5,.583,4.29,51,5,9,0,0,1,92.1,101,49,44,11,45,1,62,2,0,2,409,1.581,9.8,1.1,4.4,6.0,1.38,1,2009,MLB,DET
Brandon Lyon,29,6,5,.545,2.86,65,0,27,0,0,3,78.2,56,25,25,7,31,9,57,2,0,3,314,1.106,6.4,0.8,3.5,6.5,1.84,1,2009,MLB,DET
Ryan Perry,22,0,1,.000,3.79,53,0,12,0,0,0,61.2,56,30,26,7,38,5,60,1,1,6,273,1.524,8.2,1.0,5.5,8.8,1.58,1,2009,MLB,DET
Bobby Seay*,31,6,3,.667,4.25,67,0,7,0,0,0,48.2,46,23,23,3,17,3,37,3,0,3,208,1.295,8.5,0.6,3.1,6.8,2.18,1,2009,MLB,DET
Nate Robertson*,31,2,3,.400,5.44,28,6,3,0,0,0,49.2,59,33,30,4,28,3,35,2,0,2,234,1.752,10.7,0.7,5.1,6.3,1.25,1,2009,MLB,DET
Jarrod Washburn*,34,1,3,.250,7.33,8,8,0,0,0,0,43.0,51,35,35,12,16,0,21,2,0,0,193,1.558,10.7,2.5,3.3,4.4,1.31,1,2009,MLB,DET
Eddie Bonine,28,1,1,.500,4.46,10,4,2,0,0,0,34.1,40,19,17,7,12,1,19,1,0,0,145,1.515,10.5,1.8,3.1,5.0,1.58,1,2009,MLB,DET
Dontrelle Willis*,27,1,4,.200,7.49,7,7,0,0,0,0,33.2,37,28,28,4,28,0,17,1,0,1,160,1.931,9.9,1.1,7.5,4.5,0.61,1,2009,MLB,DET
Fu-Te Ni*,26,0,0,,2.61,36,0,9,0,0,0,31.0,20,9,9,3,11,2,21,1,0,2,121,1.000,5.8,0.9,3.2,6.1,1.91,1,2009,MLB,DET
Joel Zumaya,24,3,3,.500,4.94,29,0,5,0,0,1,31.0,34,18,17,5,22,3,30,1,0,1,149,1.806,9.9,1.5,6.4,8.7,1.36,1,2009,MLB,DET
Luke French*,23,1,2,.333,3.38,7,5,1,0,0,0,29.1,33,13,11,2,11,1,19,1,0,1,133,1.500,10.1,0.6,3.4,5.8,1.73,1,2009,MLB,DET
Alfredo Figaro,24,2,2,.500,6.35,5,3,0,0,0,0,17.0,23,13,12,3,10,0,16,1,0,0,83,1.941,12.2,1.6,5.3,8.5,1.60,1,2009,MLB,DET
Casey Fien,25,0,1,.000,7.94,9,0,5,0,0,0,11.1,13,11,10,2,6,0,9,0,0,0,53,1.676,10.3,1.6,4.8,7.1,1.50,1,2009,MLB,DET
Freddy Dolsi,26,1,0,1.000,1.69,6,0,5,0,0,0,10.2,13,6,2,0,4,0,3,0,0,0,47,1.594,11.0,0.0,3.4,2.5,0.75,1,2009,MLB,DET
Jeremy Bonderman,26,0,1,.000,8.71,8,1,1,0,0,0,10.1,16,10,10,4,8,0,5,1,0,0,53,2.323,13.9,3.5,7.0,4.4,0.63,1,2009,MLB,DET
Juan Rincon,30,1,0,1.000,5.23,7,0,6,0,0,0,10.1,12,6,6,2,6,0,10,0,0,1,49,1.742,10.5,1.7,5.2,8.7,1.67,1,2009,MLB,DET
Chris Lambert,26,0,1,.000,14.85,2,0,0,0,0,0,6.2,12,11,11,3,6,0,4,0,0,0,36,2.700,16.2,4.1,8.1,5.4,0.67,1,2009,MLB,DET
Clay Rapada*,28,0,0,,5.40,3,0,1,0,0,0,3.1,4,2,2,1,2,1,2,0,0,0,16,1.800,10.8,2.7,5.4,5.4,1.00,1,2009,MLB,DET
