Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Joe Mauer*,27,137,584,510,88,167,43,1,9,75,1,4,65,53,.327,.402,.469,.871,140,239,19,3,0,6,14,1
1B,Michael Cuddyer,31,157,675,609,93,165,37,5,14,81,7,3,58,93,.271,.336,.417,.753,107,254,26,4,0,4,7,1
2B,Orlando Hudson#,32,126,559,497,80,133,24,5,6,37,10,3,50,87,.268,.338,.372,.710,96,185,14,4,5,3,0,1
SS,J.J. Hardy,27,101,375,340,44,91,19,3,6,38,1,1,28,54,.268,.320,.394,.714,96,134,8,0,3,4,1,1
3B,Danny Valencia,25,85,322,299,30,93,18,1,7,40,2,0,20,46,.311,.351,.448,.799,119,134,11,0,0,3,0,1
LF,Delmon Young,24,153,613,570,77,170,46,1,21,112,5,4,28,81,.298,.333,.493,.826,124,281,16,6,0,9,5,1
CF,Denard Span*,26,153,705,629,85,166,24,10,3,58,26,4,60,74,.264,.331,.348,.679,88,219,12,4,10,2,0,1
RF,Jason Kubel*,28,143,582,518,68,129,23,3,21,92,0,1,56,116,.249,.323,.427,.750,105,221,16,3,0,5,5,1
DH,Jim Thome*,39,108,340,276,48,78,16,2,25,59,0,0,60,82,.283,.412,.627,1.039,182,173,8,2,0,2,4,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1B,Justin Morneau*,29,81,348,296,53,102,25,1,18,56,0,0,50,62,.345,.437,.618,1.055,187,183,6,0,0,2,7,1
IF,Nick Punto#,32,88,288,252,24,60,11,1,1,20,6,2,28,50,.238,.313,.302,.615,71,76,3,1,4,3,2,1
MI,Alexi Casilla#,25,69,170,152,26,42,7,4,1,20,6,1,13,17,.276,.331,.395,.726,100,60,5,0,4,1,0,1
C,Drew Butera,26,49,155,142,12,28,6,1,2,13,0,0,4,25,.197,.237,.296,.533,46,42,5,4,3,2,0,1
RF,Jason Repko,29,58,146,127,19,29,6,0,3,9,3,2,13,38,.228,.324,.346,.671,85,44,2,5,1,0,0,1
3B,Brendan Harris,29,43,120,108,11,17,3,0,1,4,0,0,9,23,.157,.233,.213,.446,24,23,2,2,0,1,0,1
IF,Matt Tolbert#,28,48,100,87,8,20,4,3,1,18,1,1,9,18,.230,.293,.379,.672,84,33,2,0,1,3,0,1
MI,Trevor Plouffe,24,22,44,41,7,6,1,0,2,6,0,0,0,14,.146,.143,.317,.460,22,13,0,0,2,1,0,1
UT,Jose Morales#,27,19,44,36,4,7,2,0,0,7,0,0,6,14,.194,.295,.250,.545,53,9,2,0,0,2,0,1
OF,Ben Revere*,22,13,30,28,1,5,0,0,0,2,0,1,2,5,.179,.233,.179,.412,16,5,1,0,0,0,0,1
C,Wilson Ramos,22,7,28,27,2,8,3,0,0,1,0,0,0,3,.296,.321,.407,.729,100,11,1,1,0,0,0,1
3B,Luke Hughes,25,2,7,7,1,2,0,0,1,1,0,1,0,3,.286,.286,.714,1.000,165,5,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Carl Pavano,34,2,8,6,0,3,0,0,0,0,0,0,0,2,.500,.500,.500,1.000,177,3,0,0,2,0,0,1
P,Scott Baker,28,2,4,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Kevin Slowey,26,3,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Francisco Liriano*,26,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Jon Rauch,31,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
P,Jesse Crain,28,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Jeff Manship,25,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Nick Blackburn,28,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Brian Duensing*,27,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Pat Neshek#,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Rob Delaney*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Brian Fuentes*,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Ron Mahay*,39,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Glen Perkins*,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Matt Fox,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Alex Burnett,22,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Matt Guerrier,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Randy Flores*,34,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Matt Capps,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Anthony Slama,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Jose Mijares*,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,28.5,162,6257,5568,781,1521,318,41,142,749,68,28,559,967,.273,.341,.422,.762,109,2347,159,39,38,53,45,1
