Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Greg Smith*,24,7,16,.304,4.16,32,32,0,2,0,0,190.1,169,92,88,21,87,5,111,3,1,5,800,1.345,8.0,1.0,4.1,5.2,1.28,1,2008,MLB,OAK
Dana Eveland*,24,9,9,.500,4.34,29,29,0,1,0,0,168.0,172,82,81,10,77,2,118,12,1,6,737,1.482,9.2,0.5,4.1,6.3,1.53,1,2008,MLB,OAK
Justin Duchscherer,30,10,8,.556,2.54,22,22,0,1,1,0,141.2,107,45,40,11,34,2,95,8,0,1,557,0.995,6.8,0.7,2.2,6.0,2.79,1,2008,MLB,OAK
Joe Blanton,27,5,12,.294,4.96,20,20,0,0,0,0,127.0,145,74,70,12,35,3,62,1,0,1,550,1.417,10.3,0.9,2.5,4.4,1.77,1,2008,MLB,OAK
Rich Harden,26,5,1,.833,2.34,13,13,0,0,0,0,77.0,57,21,20,5,31,1,92,1,0,1,311,1.143,6.7,0.6,3.6,10.8,2.97,1,2008,MLB,OAK
Sean Gallagher,22,2,3,.400,5.88,11,11,0,0,0,0,56.2,60,42,37,7,36,1,54,2,0,0,266,1.694,9.5,1.1,5.7,8.6,1.50,1,2008,MLB,OAK
Huston Street,24,7,5,.583,3.73,63,0,37,0,0,18,70.0,58,29,29,6,27,6,69,1,0,2,287,1.214,7.5,0.8,3.5,8.9,2.56,1,2008,MLB,OAK
Alan Embree*,38,2,5,.286,4.96,70,0,11,0,0,0,61.2,59,36,34,8,30,5,57,2,0,2,270,1.443,8.6,1.2,4.4,8.3,1.90,1,2008,MLB,OAK
Brad Ziegler,28,3,0,1.000,1.06,47,0,21,0,0,11,59.2,47,8,7,2,22,3,30,1,0,0,229,1.156,7.1,0.3,3.3,4.5,1.36,1,2008,MLB,OAK
Santiago Casilla,27,2,1,.667,3.93,51,0,9,0,0,2,50.1,60,22,22,5,20,2,43,3,0,6,229,1.589,10.7,0.9,3.6,7.7,2.15,1,2008,MLB,OAK
Joey Devine,24,6,1,.857,0.59,42,0,10,0,0,1,45.2,23,7,3,0,15,2,49,0,0,0,170,0.832,4.5,0.0,3.0,9.7,3.27,1,2008,MLB,OAK
Dallas Braden*,24,5,4,.556,4.14,19,10,7,0,0,0,71.2,77,36,33,8,25,2,41,2,1,0,301,1.423,9.7,1.0,3.1,5.1,1.64,1,2008,MLB,OAK
Chad Gaudin,25,5,3,.625,3.59,26,6,9,0,0,0,62.2,63,29,25,6,17,1,44,3,1,2,263,1.277,9.0,0.9,2.4,6.3,2.59,1,2008,MLB,OAK
Jerry Blevins*,24,1,3,.250,3.11,36,0,8,0,0,0,37.2,32,14,13,2,13,2,35,3,0,0,156,1.195,7.6,0.5,3.1,8.4,2.69,1,2008,MLB,OAK
Andrew Brown,27,1,0,1.000,3.09,31,0,13,0,0,0,35.0,23,13,12,3,21,1,28,1,0,0,147,1.257,5.9,0.8,5.4,7.2,1.33,1,2008,MLB,OAK
Gio Gonzalez*,22,1,4,.200,7.68,10,7,3,0,0,0,34.0,32,34,29,9,25,1,34,3,0,1,163,1.676,8.5,2.4,6.6,9.0,1.36,1,2008,MLB,OAK
Keith Foulke,35,0,3,.000,4.06,31,0,9,0,0,1,31.0,28,14,14,7,13,2,23,1,0,1,133,1.323,8.1,2.0,3.8,6.7,1.77,1,2008,MLB,OAK
Dan Meyer*,26,0,4,.000,7.48,11,4,5,0,0,0,27.2,35,28,23,6,14,0,20,1,0,0,132,1.771,11.4,2.0,4.6,6.5,1.43,1,2008,MLB,OAK
Kirk Saarloos,29,1,0,1.000,5.47,8,1,1,0,0,0,26.1,37,17,16,2,4,1,12,0,0,0,118,1.557,12.6,0.7,1.4,4.1,3.00,1,2008,MLB,OAK
Josh Outman*,23,1,2,.333,4.56,6,4,0,0,0,0,25.2,34,14,13,1,8,1,19,2,0,1,116,1.636,11.9,0.4,2.8,6.7,2.38,1,2008,MLB,OAK
Lenny DiNardo*,28,1,2,.333,7.43,11,2,8,0,0,0,23.0,31,20,19,3,13,2,12,2,0,1,114,1.913,12.1,1.2,5.1,4.7,0.92,1,2008,MLB,OAK
Jeff Gray,26,0,0,,7.71,5,0,2,0,0,0,4.2,8,4,4,1,1,0,4,1,0,0,24,1.929,15.4,1.9,1.9,7.7,4.00,1,2008,MLB,OAK
Kiko Calero,33,0,0,,3.86,5,0,3,0,0,0,4.2,3,3,2,0,3,0,7,0,0,0,20,1.286,5.8,0.0,5.8,13.5,2.33,1,2008,MLB,OAK
Fernando Hernandez,23,1,0,1.000,18.00,3,0,1,0,0,0,3.0,4,6,6,0,5,0,2,1,0,0,19,3.000,12.0,0.0,15.0,6.0,0.40,1,2008,MLB,OAK
