Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,A.J. Pierzynski*,28,128,497,460,61,118,21,0,18,56,0,2,23,68,.257,.308,.420,.728,90,193,13,12,1,1,5,1
1B,Paul Konerko,29,158,664,575,98,163,24,0,40,100,0,0,81,109,.283,.375,.534,.909,136,307,9,5,0,3,10,1
2B,Tadahito Iguchi,30,135,582,511,74,142,25,6,15,71,15,5,47,114,.278,.342,.438,.780,104,224,16,6,11,6,0,1
SS,Juan Uribe,26,146,540,481,58,121,23,3,16,71,4,6,34,77,.252,.301,.412,.712,85,198,7,4,11,10,0,1
3B,Joe Crede,27,132,471,432,54,109,21,0,22,62,1,1,25,66,.252,.303,.454,.756,96,196,7,8,2,4,3,1
LF,Scott Podsednik*,29,129,568,507,80,147,28,1,0,25,59,23,47,75,.290,.351,.349,.700,86,177,7,3,6,5,0,1
CF,Aaron Rowand,27,157,640,578,77,156,30,5,13,69,16,5,32,116,.270,.329,.407,.736,93,235,17,21,5,4,3,1
RF,Jermaine Dye,31,145,579,529,74,145,29,2,31,86,11,4,39,99,.274,.333,.512,.846,118,271,15,9,0,2,3,1
DH,Carl Everett#,34,135,547,490,58,123,17,2,23,87,4,5,42,99,.251,.311,.435,.745,94,213,11,5,0,10,2,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3B,Pablo Ozuna,30,70,217,203,27,56,7,2,0,11,14,7,7,26,.276,.313,.330,.643,70,67,5,4,3,0,0,1
OF,Timo Perez*,30,76,196,179,13,39,8,0,2,15,2,2,12,25,.218,.266,.296,.562,48,53,3,0,4,1,1,1
C,Chris Widger,34,45,154,141,18,34,8,0,4,11,0,2,10,22,.241,.296,.383,.679,77,54,5,1,2,0,0,1
2B,Willie Harris*,27,56,139,121,17,31,2,1,1,8,10,3,13,25,.256,.333,.314,.647,72,38,1,1,4,0,0,1
DH,Frank Thomas,37,34,124,105,19,23,3,0,12,26,0,0,16,31,.219,.315,.590,.905,131,62,2,0,0,3,0,1
IF,Geoff Blum#,32,31,99,95,6,19,2,1,1,3,0,1,4,15,.200,.232,.274,.506,33,26,1,0,0,0,0,1
UT,Ross Gload*,29,28,44,42,2,7,2,0,0,5,0,0,2,9,.167,.205,.214,.419,11,9,1,0,0,0,0,1
OF,Brian Anderson,23,13,35,34,3,6,1,0,2,3,1,0,0,12,.176,.176,.382,.559,41,13,2,0,1,0,0,1
DH,Joe Borchard#,26,7,12,12,0,5,2,0,0,0,0,1,0,4,.417,.417,.583,1.000,160,7,0,0,0,0,0,1
MI,Pedro Lopez,21,2,8,7,1,2,0,0,0,2,0,0,0,1,.286,.286,.286,.571,52,2,0,0,1,0,0,1
C,Raul Casanova#,32,6,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,6,1,0,0,0,0,0,1
1B,Jamie Burke,33,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Freddy Garcia,28,3,9,7,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0,1
P,José Contreras,33,2,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-25,0,0,0,0,0,0,1
P,Orlando Hernandez,39,1,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,77,1,0,0,0,0,0,1
P,Mark Buehrle*,26,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Brandon McCarthy,21,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Jon Garland,25,1,2,2,0,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,165,1,0,0,0,0,0,1
P,Cliff Politte,31,5,1,1,1,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,431,1,0,0,0,0,0,1
P,Damaso Marte*,30,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Shingo Takatsu,36,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Jon Adkins*,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,David Sanders*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Bobby Jenks,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Neal Cotts*,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Jeff Bajenaru,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Luis Vizcaino,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kevin Walker*,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Dustin Hermanson,32,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,29.4,162,6146,5529,741,1450,253,23,200,713,137,67,435,1002,.262,.322,.425,.747,95,2349,122,79,53,49,27,1
,Rank in 14 AL teams,,,,12,9,11,14,11,4,,3,14,11,9,11,11,7,8,,8,,2,,7,,1
,Non-Pitcher Totals,29.4,162,6122,5508,740,1447,253,23,200,711,137,67,434,994,.263,.323,.426,.749,95,2346,122,79,51,49,27,1
,Pitcher Totals,27.4,162,24,21,1,3,0,0,0,2,0,0,1,8,.143,.182,.143,.325,-13,3,0,0,2,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
